user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
ueef8ce60a0a8,Cheung Shing MARS,2,1,3,50.0,1.5,neko,Cheung Shing MARS,Cheung Shing MARS
ueef8ce60a0a8,CrediCor,2,2,2,100.0,1.0,neko,CrediCor,CrediCor
ueef8ce60a0a8,Ecoline (breakthrough),2,0,4,0.0,2.0,neko,Ecoline (breakthrough),Ecoline (breakthrough)
ueef8ce60a0a8,Factorum (breakthrough),3,1,5,33.33,1.667,neko,Factorum (breakthrough),Factorum (breakthrough)
ueef8ce60a0a8,Gagarin Mobile Base,3,2,4,66.67,1.333,neko,Gagarin Mobile Base,Gagarin Mobile Base
ueef8ce60a0a8,Id Front,2,1,3,50.0,1.5,neko,前线基地,前线基地
ueef8ce60a0a8,Interplanetary Cinematics (breakthrough),3,1,5,33.33,1.667,neko,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
ueef8ce60a0a8,Inventrix (breakthrough),2,1,3,50.0,1.5,neko,Inventrix (breakthrough),Inventrix (breakthrough)
ueef8ce60a0a8,Kingdom of Tauraro,2,0,4,0.0,2.0,neko,陶拉罗王国,陶拉罗王国
ueef8ce60a0a8,Kuiper Cooperative,2,1,3,50.0,1.5,neko,Kuiper Cooperative,Kuiper Cooperative
ueef8ce60a0a8,Lakefront Resorts,2,0,4,0.0,2.0,neko,湖畔度假区,湖畔度假区
ueef8ce60a0a8,Manutech,3,2,4,66.67,1.333,neko,Manutech,Manutech
ueef8ce60a0a8,Millennium Falcon,4,2,6,50.0,1.5,neko,千年隼,千年隼
ueef8ce60a0a8,Mining guild (breakthrough),2,0,4,0.0,2.0,neko,Mining guild (breakthrough),Mining guild (breakthrough)
ueef8ce60a0a8,MorningStar Inc (breakthrough),3,1,5,33.33,1.667,neko,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
ueef8ce60a0a8,Pharmacy Union,2,1,3,50.0,1.5,neko,制药联盟,制药联盟
ueef8ce60a0a8,Point Luna,6,1,11,16.67,1.833,neko,Point Luna,Point Luna
ueef8ce60a0a8,Prism,2,0,4,0.0,2.0,neko,棱镜光谱研究室,棱镜光谱研究室
ueef8ce60a0a8,Recyclon (breakthrough),2,0,4,0.0,2.0,neko,Recyclon (breakthrough),Recyclon (breakthrough)
ueef8ce60a0a8,Robinson Industries (breakthrough),2,1,3,50.0,1.5,neko,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
ueef8ce60a0a8,Saturn Systems,3,0,6,0.0,2.0,neko,Saturn Systems,Saturn Systems
ueef8ce60a0a8,Spire,3,2,4,66.67,1.333,neko,Spire,Spire
ueef8ce60a0a8,Splice (breakthrough),2,0,4,0.0,2.0,neko,Splice (breakthrough),Splice (breakthrough)
ueef8ce60a0a8,Teractor (breakthrough),7,2,12,28.57,1.714,neko,Teractor (breakthrough),Teractor (breakthrough)
ueef8ce60a0a8,Terralabs Research (breakthrough),2,0,4,0.0,2.0,neko,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
ueef8ce60a0a8,Tharsis_republic (breakthrough),2,1,3,50.0,1.5,neko,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
ueef8ce60a0a8,Trade Navigator,3,2,4,66.67,1.333,neko,贸易领航者,贸易领航者
ueef8ce60a0a8,Tycho Magnetics,2,0,4,0.0,2.0,neko,第谷磁力,第谷磁力
ueef8ce60a0a8,Valley Trust (breakthrough),3,0,6,0.0,2.0,neko,Valley Trust (breakthrough),Valley Trust (breakthrough)
ueef8ce60a0a8,Viron (breakthrough),3,1,5,33.33,1.667,neko,Viron (breakthrough),Viron (breakthrough)
ueef8ce60a0a8,雩喵科学探测器,3,0,6,0.0,2.0,neko,雩喵科学探测器,雩喵科学探测器
ueef8ce60a0a8,🌸MirrorCoat🌸,2,0,4,0.0,2.0,neko,🌸镜反🌸,镜反
ueef8ce60a0a8,🌸Protogen🌸,3,0,6,0.0,2.0,neko,🌸微生物热舞🌸,微生物热舞
ueef8ce60a0a8,🌸Scolex Industries🌸,2,0,4,0.0,2.0,neko,🌸星核工业🌸,星核工业
uefc011328868,Inventrix (breakthrough),2,0,4,0.0,2.0,badwoman,Inventrix (breakthrough),Inventrix (breakthrough)
uefc011328868,Saturn Systems,2,0,4,0.0,2.0,badwoman,Saturn Systems,Saturn Systems
uf0b73ac49697,EcoLine,2,2,2,100.0,1.0,dabai530,EcoLine,EcoLine
uf15f76ed8e91,Mining Guild,2,2,2,100.0,1.0,桶装企鹅,Mining Guild,Mining Guild
uf173bb4ea3ce,Odyssey,2,1,3,50.0,1.5,暮光闪闪,奥德赛,奥德赛
uf307806d95e1,Robinson Industries,2,2,2,100.0,1.0,禁忌,Robinson Industries,Robinson Industries
uf4403b31785b,CrediCor,2,0,4,0.0,2.0,星星,CrediCor,CrediCor
