prelude_name,total_uses,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
WG Partnership,44,26,1.4090909090909092,145.3409090909091,62.0,44,1.6111111111111112,59.09,世界政府小伙伴,世界政府小伙伴
Survey Mission,62,33,1.467741935483871,157.5483870967742,91.0,62,1.6111111111111112,53.23,探索任务,探索任务
Board of Directors,158,70,1.5569620253164558,148.65189873417722,246.0,158,1.6130952380952381,44.3,董事会,董事会
Accumulated Knowledge,120,54,1.55,154.36666666666667,186.0,120,1.623076923076923,45.0,积累知识,积累知识
Early Settlement,78,38,1.5128205128205128,115.0,118.0,78,1.625,48.72,前期据点,前期据点
Metal-Rich Asteroid,89,42,1.5280898876404494,137.23595505617976,136.0,89,1.6262626262626263,47.19,富含金属的小行星,富含金属的小行星
Galilean Mining,116,52,1.5517241379310345,148.38793103448276,180.0,116,1.626984126984127,44.83,伽利略矿业,伽利略矿业
Martian Industries,95,43,1.5473684210526315,150.93684210526317,147.0,95,1.638095238095238,45.26,火星工业,火星工业
Supplier,131,55,1.5801526717557253,136.86259541984734,207.0,131,1.6453900709219857,41.98,供应商,供应商
Colony Trade Hub,50,26,1.48,148.36,74.0,50,1.65,52.0,殖民地贸易中心,殖民地贸易中心
Valuable Gases:Pathfinders,36,21,1.4166666666666667,138.77777777777777,51.0,36,1.6521739130434783,58.33,贵重气体：探路者,贵重气体：探路者
Self-Sufficient Settlement,106,45,1.5754716981132075,131.58490566037736,167.0,106,1.6551724137931034,42.45,自给自足的据点,自给自足的据点
Deep Space Operations,60,29,1.5166666666666666,140.05,91.0,60,1.6571428571428573,48.33,深空操作,深空操作
Trade Advance,42,22,1.4761904761904763,151.21428571428572,62.0,42,1.6730769230769231,52.38,Trade Advance,Trade Advance
Design Company,71,31,1.5633802816901408,145.83098591549296,111.0,71,1.6790123456790123,43.66,公司设计,公司设计
Nitrogen Shipment,22,15,1.3181818181818181,148.95454545454547,29.0,22,1.6875,68.18,氮气运输,氮气运输
Polar Industries,42,21,1.5,109.80952380952381,63.0,42,1.6923076923076923,50.0,极地工业,极地工业
Eccentric Sponsor,72,30,1.5833333333333333,141.69444444444446,114.0,72,1.6951219512195121,41.67,奇特的赞助者,奇特的赞助者
Mohole Excavation,36,19,1.4722222222222223,123.41666666666667,53.0,36,1.6956521739130435,52.78,超深钻探挖掘工程,超深钻探挖掘工程
Giant Solar Collector,94,36,1.6170212765957446,133.11702127659575,152.0,94,1.7019230769230769,38.3,巨型太阳能收集器,巨型太阳能收集器
Recession,37,19,1.4864864864864864,135.75675675675674,55.0,37,1.702127659574468,51.35,经济衰退,经济衰退
High Circles,31,17,1.4516129032258065,148.03225806451613,45.0,31,1.7073170731707317,54.84,高层圈子,高层圈子
Prospecting,35,18,1.4857142857142858,129.4,52.0,35,1.711111111111111,51.43,勘探,勘探
Applied Science,40,19,1.525,151.85,61.0,40,1.72,47.5,应用科学,应用科学
Biosphere Support,26,15,1.4230769230769231,120.03846153846153,37.0,26,1.7222222222222223,57.69,生物圈支援载体,生物圈支援载体
Corridors of Power,37,18,1.5135135135135136,174.94594594594594,56.0,37,1.7234042553191489,48.65,权力走廊,权力走廊
Dome Farming,30,16,1.4666666666666666,113.7,44.0,30,1.725,53.33,圆顶农业,圆顶农业
Main Belt Asteroids,32,16,1.5,144.4375,48.0,32,1.7380952380952381,50.0,主带小行星,主带小行星
Biofuels,36,17,1.5277777777777777,122.11111111111111,55.0,36,1.7391304347826086,47.22,生物燃料,生物燃料
Smelting Plant,43,18,1.5813953488372092,113.51162790697674,68.0,43,1.7547169811320755,41.86,冶炼厂,冶炼厂
Society Support,26,13,1.5,126.23076923076923,39.0,26,1.7777777777777777,50.0,社会支援,社会支援
Cloud Vortex Outpost,24,10,1.5833333333333333,130.0,38.0,24,1.8529411764705883,41.67,云涡前哨站,云涡前哨站
Ecology Experts,39,11,1.7179487179487178,114.1025641025641,67.0,39,1.8775510204081634,28.21,生态学专家,生态学专家
Lunar Planning Office,15,8,1.4666666666666666,187.8,22.0,15,1.88,53.33,月球规划办公室,月球规划办公室
Mining Complex,10,7,1.3,191.9,13.0,10,1.9,70.0,矿业综合体,矿业综合体
Mohole,26,8,1.6923076923076923,96.53846153846153,44.0,26,1.9166666666666667,30.77,超深钻探,超深钻探
Core Mine,10,5,1.5,143.2,15.0,10,2.0,50.0,核地雷,核地雷
Preservation Program,15,3,1.8,109.66666666666667,27.0,15,2.08,20.0,保护计划,保护计划
