card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Oumuamua Type Object Survey,404,221,1.452970297029703,192.73019801980197,587.0,404,1.4782608695652173,54.7,奥陌陌天体调查,奥陌陌天体调查
Lunar Industry Complex,61,42,1.3114754098360655,199.55737704918033,80.0,61,1.4788732394366197,68.85,月球工业复合体,月球工业复合体
Off-World City Living,38,30,1.2105263157894737,248.28947368421052,46.0,38,1.4791666666666667,78.95,离地城市生活,离地城市生活
Atmo Collectors,280,156,1.4428571428571428,198.76071428571427,404.0,280,1.4793103448275862,55.71,大气收藏家,大气收藏家
Solar Panel Foundry,63,43,1.3174603174603174,250.93650793650792,83.0,63,1.4794520547945205,68.25,太阳能电池铸造厂,太阳能电池铸造厂
Underground Detonators,67,45,1.328358208955224,195.88059701492537,89.0,67,1.4805194805194806,67.16,地下炸弹,地下炸弹
Clone Troopers (II),94,59,1.372340425531915,261.0744680851064,129.0,94,1.4807692307692308,62.77,Clone Troopers (II),Clone Troopers (II)
Aquifer Pumping,123,74,1.3983739837398375,206.9430894308943,172.0,123,1.481203007518797,60.16,含水层抽水,含水层抽水
Special Permit,102,63,1.3823529411764706,165.72549019607843,141.0,102,1.4821428571428572,61.76,特别许可,特别许可
Heat Trappers,141,83,1.4113475177304964,202.4255319148936,199.0,141,1.4834437086092715,58.87,热力捕获者,热力捕获者
Event Analysts,155,90,1.4193548387096775,180.43870967741935,220.0,155,1.4848484848484849,58.06,事件分析,事件分析
Diaspora Movement,126,75,1.4047619047619047,167.18253968253967,177.0,126,1.4852941176470589,59.52,大流散运动,大流散运动
Mining Robots Manuf. Center,60,41,1.3166666666666667,204.25,79.0,60,1.4857142857142858,68.33,采矿机器人制造中心,采矿机器人制造中心
Biomass Combustors,169,97,1.4260355029585798,186.5207100591716,241.0,169,1.4860335195530727,57.4,生物量燃烧,生物量燃烧
Economic Help,181,103,1.430939226519337,222.56906077348066,259.0,181,1.486910994764398,56.91,经济援助,经济援助
Magnetic Field Generators:promo,114,68,1.4035087719298245,175.81578947368422,160.0,114,1.4919354838709677,59.65,Magnetic Field Generators:promo,Magnetic Field Generators:promo
Preliminary Darkside,57,39,1.3157894736842106,199.6140350877193,75.0,57,1.492537313432836,68.42,暗面初步勘探,暗面初步勘探
Political Alliance,77,49,1.3636363636363635,181.94805194805195,105.0,77,1.4942528735632183,63.64,政治结盟,政治结盟
Mining Rights,186,104,1.4408602150537635,154.05913978494624,268.0,186,1.4948979591836735,55.91,采矿权,采矿权
Rey ... Skywalker?! (IX),109,65,1.4036697247706422,193.88990825688074,153.0,109,1.495798319327731,59.63,Rey ... Skywalker?! (IX),Rey ... Skywalker?! (IX)
ArchaeBacteria,246,134,1.4552845528455285,159.58943089430895,358.0,246,1.49609375,54.47,古细菌类,古细菌类
Colonial Representation,141,81,1.425531914893617,172.53900709219857,201.0,141,1.4966887417218544,57.45,殖民代表权,殖民代表权
Solar Cosmic Rays,149,85,1.429530201342282,247.1744966442953,213.0,149,1.4968553459119496,57.05,太阳射线,太阳射线
Last Resort Ingenuity,159,90,1.4339622641509433,218.30188679245282,228.0,159,1.4970414201183433,56.6,即兴才能,即兴才能
Supported Research,183,102,1.4426229508196722,164.98360655737704,264.0,183,1.4974093264248705,55.74,受扶持的研究,受扶持的研究
Designed Microorganisms,301,161,1.4651162790697674,166.06976744186048,441.0,301,1.4983922829581993,53.49,创造微生物,创造微生物
