combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
UNMI (breakthrough) + 🌸SolarPlant🌸,9,3,1.8888888888888888,90.66666666666667,17.0,9,2.210526315789474,33.33,UNMI (breakthrough) + 🌸太阳能公司🌸
Inventrix (breakthrough) + Spire,23,8,2.0869565217391304,116.30434782608695,48.0,23,2.212121212121212,34.78,Inventrix (breakthrough) + Spire
EcoTec + Sagitta Frontier Services,4,2,1.5,78.0,6.0,4,2.2142857142857144,50.0,EcoTec + Sagitta Frontier Services
Robinson Industries (breakthrough) + 🌸Ark Nova🌸,4,2,1.5,177.25,6.0,4,2.2142857142857144,50.0,Robinson Industries (breakthrough) + 🌸方舟动物园🌸
Curiosity II + Tharsis_republic (breakthrough),4,3,1.5,111.5,6.0,4,2.2142857142857144,75.0,Curiosity II + Tharsis_republic (breakthrough)
Viron (breakthrough) + 🌸双轨跃迁🌸,4,2,1.5,89.5,6.0,4,2.2142857142857144,50.0,Viron (breakthrough) + 🌸双轨跃迁🌸
🌸Green Leaf Dance🌸 + 🌸MirrorCoat🌸,4,2,1.5,83.25,6.0,4,2.2142857142857144,50.0,🌸绿叶舞动🌸 + 🌸镜反🌸
Sagitta Frontier Services + Septem Tribus,4,2,1.5,96.0,6.0,4,2.2142857142857144,50.0,Sagitta Frontier Services + Septem Tribus
Midas + Sagitta Frontier Services,4,2,1.5,79.25,6.0,4,2.2142857142857144,50.0,Midas + Sagitta Frontier Services
Manutech + Trade Navigator,4,2,1.5,111.25,6.0,4,2.2142857142857144,50.0,Manutech + 贸易领航者
Celestic (breakthrough) + Trade Navigator,4,2,1.5,101.0,6.0,4,2.2142857142857144,50.0,Celestic (breakthrough) + 贸易领航者
UNMI (breakthrough) + Vitor,4,2,1.5,113.25,6.0,4,2.2142857142857144,50.0,UNMI (breakthrough) + Vitor
EcoTec + Spire,4,2,1.5,89.0,6.0,4,2.2142857142857144,50.0,EcoTec + Spire
