prelude_name,total_uses,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Project Eden,377,141,2.092838196286472,74.51193633952255,789.0,377,2.103359173126615,37.4,伊甸园计划,伊甸园计划
Soil Bacteria,354,130,2.175141242937853,82.50282485875707,770.0,354,2.184065934065934,36.72,土壤细菌,土壤细菌
Suitable Infrastructure,346,121,2.213872832369942,86.6242774566474,766.0,346,2.2219101123595504,34.97,适宜基础设施,适宜基础设施
World Government Advisor,331,113,2.2749244712990935,73.94561933534743,753.0,331,2.281524926686217,34.14,世界政府顾问,世界政府顾问
Supply Drop,1029,301,2.2847424684159376,80.05830903790087,2351.0,1029,2.2868142444658326,29.25,空投补给,空投补给
WG Partnership,59,21,2.2542372881355934,80.88135593220339,133.0,59,2.289855072463768,35.59,世界政府小伙伴,世界政府小伙伴
Cloud Vortex Outpost,267,81,2.2883895131086143,82.02247191011236,611.0,267,2.296028880866426,30.34,云涡前哨站,云涡前哨站
Experimental Forest,977,295,2.3029682702149437,76.27226202661208,2250.0,977,2.3049645390070923,30.19,实验林场,实验林场
Planetary Alliance,1090,336,2.310091743119266,84.00825688073394,2518.0,1090,2.311818181818182,30.83,行星联盟,行星联盟
Trade Advance,585,168,2.3213675213675216,82.68205128205128,1358.0,585,2.32436974789916,28.72,Trade Advance,Trade Advance
Merger,120,35,2.316666666666667,83.40833333333333,278.0,120,2.330769230769231,29.17,企业合并,企业合并
Survey Mission,962,294,2.3295218295218296,80.24428274428274,2241.0,962,2.331275720164609,30.56,探索任务,探索任务
Research Grant,34,13,2.2941176470588234,95.02941176470588,78.0,34,2.340909090909091,38.24,研发资助,研发资助
Corridors of Power,248,76,2.346774193548387,83.00806451612904,582.0,248,2.352713178294574,30.65,权力走廊,权力走廊
Venus First,970,301,2.3577319587628867,82.3381443298969,2287.0,970,2.3591836734693876,31.03,金星优先,金星优先
