award_name,fund_count,wins,avg_position,position_sum,win_rate,weighted_avg_position,cn_name,cn_name_plot
Benefactor,398,188,1.8542713567839195,738.0,47.24,1.8995327102803738,火星改造王,火星改造王
Cultivator,285,116,1.9228070175438596,548.0,40.7,1.9777777777777779,绿化妙手,绿化妙手
A. Manufacturer,191,88,1.9005235602094241,363.0,46.07,1.9819004524886878,制造商,制造商
Adapter,72,37,1.7916666666666667,129.0,51.39,2.0,Adapter,Adapter
Landlord,297,123,1.9696969696969697,585.0,41.41,2.018348623853211,地产大亨,地产大亨
Estate Dealer,283,121,1.9752650176678446,559.0,42.76,2.02555910543131,海景房,海景房
Desert Settler,309,123,2.0064724919093853,620.0,39.81,2.050147492625369,沙漠定居者,沙漠定居者
Coordinator,129,58,1.945736434108527,251.0,44.96,2.050314465408805,Coordinator,Coordinator
Tourist,155,57,1.967741935483871,305.0,36.77,2.054054054054054,旅游者,旅游者
Excentric,323,114,2.024767801857585,654.0,35.29,2.0651558073654392,特立独行,特立独行
Celebrity,358,133,2.0391061452513966,730.0,37.15,2.0747422680412373,名媛雅士,名媛雅士
Incorporator,128,53,1.9921875,255.0,41.41,2.088607594936709,法人,法人
Biologist,217,82,2.032258064516129,441.0,37.79,2.0890688259109313,生物学家,生物学家
Zoologist,183,68,2.0273224043715845,371.0,37.16,2.0938967136150235,动物学家,动物学家
Magnate,296,121,2.0574324324324325,609.0,40.88,2.098159509202454,自动化巨头,自动化巨头
A. Zoologist,201,75,2.0398009950248754,410.0,37.31,2.0995670995670994,A. 动物学家,A. 动物学家
Scientist,368,137,2.067934782608696,761.0,37.23,2.100502512562814,科技巨擘,科技巨擘
Engineer,63,30,1.9365079365079365,122.0,47.62,2.118279569892473,工程师,工程师
Urbanist,244,89,2.0778688524590163,507.0,36.48,2.124087591240876,城市规划师,城市规划师
Venuphile,569,221,2.1054481546572936,1198.0,38.84,2.1252086811352253,金星爱好者,金星爱好者
T. Politician,262,97,2.095419847328244,549.0,37.02,2.136986301369863,政治家,政治家
Edgedancer,155,57,2.0709677419354837,321.0,36.77,2.1405405405405404,边缘舞者,边缘舞者
Space Baron,346,130,2.11271676300578,731.0,37.57,2.143617021276596,太空枭雄,太空枭雄
Naturalist,219,76,2.1004566210045663,460.0,34.7,2.1485943775100402,自然主义者,自然主义者
Entrepreneur,205,75,2.126829268292683,436.0,36.59,2.174468085106383,企业家,企业家
Botanist,156,52,2.128205128205128,332.0,33.33,2.1881720430107525,植物学家,植物学家
Forecaster,102,40,2.0980392156862746,214.0,39.22,2.1893939393939394,适应者,适应者
A. Engineer,101,37,2.099009900990099,212.0,36.63,2.1908396946564888,工程师,工程师
Curator,177,67,2.1920903954802258,388.0,37.85,2.236714975845411,馆长,馆长
Voyager,266,75,2.210526315789474,588.0,28.2,2.239864864864865,远征者,远征者
Contractor,291,98,2.2130584192439864,644.0,33.68,2.2398753894080996,营造巨贾,营造巨贾
T. Economizer,107,42,2.1682242990654204,232.0,39.25,2.240875912408759,节约者,节约者
Cosmic Settler,164,48,2.207317073170732,362.0,29.27,2.252577319587629,宇宙移民,宇宙移民
Banker,350,106,2.2485714285714287,787.0,30.29,2.268421052631579,金融巨头,金融巨头
Warmonger,176,51,2.25,396.0,28.98,2.2864077669902914,战争贩子,战争贩子
Visionary,60,21,2.25,135.0,35.0,2.3333333333333335,囤积者,囤积者
Industrialist,205,59,2.3317073170731706,478.0,28.78,2.353191489361702,杰出实业家,杰出实业家
Hoarder,56,15,2.2857142857142856,128.0,26.79,2.36046511627907,Hoarder,Hoarder
Thermalist,300,66,2.4,720.0,22.0,2.409090909090909,热能魁首,热能魁首
Miner,246,67,2.410569105691057,593.0,27.24,2.420289855072464,矿业大亨,矿业大亨
Rugged,63,14,2.4444444444444446,154.0,22.22,2.4623655913978495,坚韧者,坚韧者
