card_name,players,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Aerial Mappers,3.0,345,156,1.8057971014492753,112.26666666666667,623.0,345,1.8112676056338028,45.22,航空制图器,航空制图器
Aerial Mappers,4.0,1534,498,2.292046936114733,87.21903520208605,3516.0,1534,2.29339378238342,32.46,航空制图器,航空制图器
Aerial Mappers,5.0,26,8,2.3076923076923075,86.15384615384616,60.0,26,2.361111111111111,30.77,航空制图器,航空制图器
Aerobraked Ammonia Asteroid,2.0,220,140,1.3636363636363635,226.87272727272727,300.0,220,1.3695652173913044,63.64,氮气小行星,氮气小行星
Aerobraked Ammonia Asteroid,3.0,71,36,1.704225352112676,117.38028169014085,121.0,71,1.7407407407407407,50.7,氮气小行星,氮气小行星
Aerobraked Ammonia Asteroid,4.0,127,34,2.3307086614173227,90.51968503937007,296.0,127,2.343065693430657,26.77,氮气小行星,氮气小行星
Aerobraked Ammonia Asteroid,5.0,10,4,2.5,81.4,25.0,10,2.5,40.0,氮气小行星,氮气小行星
Aerosport Tournament,2.0,273,179,1.3443223443223444,232.34432234432234,367.0,273,1.3498233215547704,65.57,航空运动锦标赛,航空运动锦标赛
Aerosport Tournament,3.0,139,70,1.6978417266187051,127.50359712230215,236.0,139,1.7181208053691275,50.36,航空运动锦标赛,航空运动锦标赛
Aerosport Tournament,4.0,621,237,2.101449275362319,95.29790660225443,1305.0,621,2.1077654516640254,38.16,航空运动锦标赛,航空运动锦标赛
Aerosport Tournament,5.0,20,6,2.5,83.15,50.0,20,2.5,30.0,航空运动锦标赛,航空运动锦标赛
Agro-Drones,2.0,121,80,1.3388429752066116,243.47107438016528,162.0,121,1.3511450381679388,66.12,农业无人机,农业无人机
Agro-Drones,3.0,29,9,2.0344827586206895,122.6896551724138,59.0,29,2.0256410256410255,31.03,农业无人机,农业无人机
Agro-Drones,4.0,137,42,2.3576642335766422,90.43065693430657,323.0,137,2.36734693877551,30.66,农业无人机,农业无人机
Air Raid,2.0,468,309,1.3397435897435896,193.62820512820514,627.0,468,1.3430962343096233,66.03,空袭,空袭
Air Raid,3.0,207,90,1.8357487922705313,113.42512077294685,380.0,207,1.8433179723502304,43.48,空袭,空袭
Air Raid,4.0,905,276,2.3171270718232044,86.57016574585636,2097.0,905,2.3191256830601095,30.5,空袭,空袭
Air Raid,5.0,22,9,2.272727272727273,88.18181818181819,50.0,22,2.34375,40.91,空袭,空袭
Air-Scrapping Expedition,2.0,424,259,1.3891509433962264,195.4504716981132,589.0,424,1.391705069124424,61.08,金星改造远征队,金星改造远征队
Air-Scrapping Expedition,3.0,219,97,1.817351598173516,113.57990867579909,398.0,219,1.8253275109170306,44.29,金星改造远征队,金星改造远征队
Air-Scrapping Expedition,4.0,901,297,2.2308546059933407,88.24750277469478,2010.0,901,2.2338090010976948,32.96,金星改造远征队,金星改造远征队
Air-Scrapping Expedition,5.0,23,3,3.0434782608695654,77.0,70.0,23,2.878787878787879,13.04,金星改造远征队,金星改造远征队
Airliners,2.0,377,232,1.3846153846153846,209.10875331564986,522.0,377,1.3875968992248062,61.54,航空公司,航空公司
Airliners,3.0,192,78,1.8177083333333333,117.34895833333333,349.0,192,1.8267326732673268,40.62,航空公司,航空公司
Airliners,4.0,627,200,2.274322169059011,89.73365231259969,1426.0,627,2.2778649921507066,31.9,航空公司,航空公司
Airliners,5.0,25,5,3.08,74.12,77.0,25,2.914285714285714,20.0,航空公司,航空公司
Algae,2.0,422,262,1.3791469194312795,183.74644549763033,582.0,422,1.3819444444444444,62.09,海藻,海藻
Algae,3.0,205,83,1.8439024390243903,110.57560975609756,378.0,205,1.8511627906976744,40.49,海藻,海藻
Algae,4.0,859,269,2.270081490104773,86.47613504074505,1950.0,859,2.272727272727273,31.32,海藻,海藻
Algae,5.0,21,7,2.238095238095238,77.95238095238095,47.0,21,2.3225806451612905,33.33,海藻,海藻
Algae Bioreactors,2.0,39,23,1.4102564102564104,187.53846153846155,55.0,39,1.4285714285714286,58.97,藻类生物反应器,藻类生物反应器
Algae Bioreactors,3.0,10,5,1.8,142.0,18.0,10,1.9,50.0,藻类生物反应器,藻类生物反应器
An Offer You Can't Refuse,2.0,12,5,1.5833333333333333,182.16666666666666,19.0,12,1.5454545454545454,41.67,一个无法拒绝的条件,一个无法拒绝的条件
An Offer You Can't Refuse,3.0,14,6,1.7857142857142858,131.0,25.0,14,1.875,42.86,一个无法拒绝的条件,一个无法拒绝的条件
An Offer You Can't Refuse,4.0,95,35,2.1578947368421053,85.21052631578948,205.0,95,2.1904761904761907,36.84,一个无法拒绝的条件,一个无法拒绝的条件
Ansible,2.0,511,323,1.3679060665362035,210.2054794520548,699.0,511,1.3704414587332054,63.21,安塞波,安塞波
Ansible,3.0,169,76,1.8284023668639053,122.84023668639053,309.0,169,1.8379888268156424,44.97,安塞波,安塞波
Ansible,4.0,1186,352,2.415682967959528,87.91989881956155,2865.0,1186,2.4163879598662206,29.68,安塞波,安塞波
Ansible,5.0,24,6,3.0,80.16666666666667,72.0,24,2.8529411764705883,25.0,安塞波,安塞波
Anthozoa,2.0,234,149,1.3632478632478633,210.14957264957266,319.0,234,1.3688524590163935,63.68,珊瑚动物,珊瑚动物
Anthozoa,3.0,76,25,1.881578947368421,117.8157894736842,143.0,76,1.8953488372093024,32.89,珊瑚动物,珊瑚动物
Anthozoa,4.0,580,186,2.25,88.6448275862069,1305.0,580,2.2542372881355934,32.07,珊瑚动物,珊瑚动物
Anthozoa,5.0,17,4,2.764705882352941,72.88235294117646,47.0,17,2.6666666666666665,23.53,珊瑚动物,珊瑚动物
Anti-Gravity Technology,2.0,668,437,1.345808383233533,196.1556886227545,899.0,668,1.3480825958702065,65.42,反重力科技,反重力科技
Anti-Gravity Technology,3.0,320,168,1.675,126.6,536.0,320,1.6848484848484848,52.5,反重力科技,反重力科技
Anti-Gravity Technology,4.0,1384,523,2.1661849710982657,93.43280346820809,2998.0,1384,2.16857962697274,37.79,反重力科技,反重力科技
Anti-Gravity Technology,5.0,35,16,2.3142857142857145,89.54285714285714,81.0,35,2.3555555555555556,45.71,反重力科技,反重力科技
AntiGravity Experiment,2.0,557,372,1.3321364452423698,205.6588868940754,742.0,557,1.3350970017636685,66.79,反重力先行试验,反重力先行试验
AntiGravity Experiment,3.0,163,83,1.7239263803680982,124.93865030674847,281.0,163,1.739884393063584,50.92,反重力先行试验,反重力先行试验
AntiGravity Experiment,4.0,1248,446,2.1963141025641026,92.49599358974359,2741.0,1248,2.1987281399046106,35.74,反重力先行试验,反重力先行试验
AntiGravity Experiment,5.0,26,9,2.576923076923077,84.53846153846153,67.0,26,2.5555555555555554,34.62,反重力先行试验,反重力先行试验
Ants,2.0,485,284,1.4144329896907217,194.99175257731957,686.0,485,1.4161616161616162,58.56,蚂蚁,蚂蚁
Ants,3.0,285,126,1.7824561403508772,110.83508771929824,508.0,285,1.7898305084745763,44.21,蚂蚁,蚂蚁
Ants,4.0,1223,381,2.3172526573998367,86.56336876533115,2834.0,1223,2.318734793187348,31.15,蚂蚁,蚂蚁
Ants,5.0,38,10,2.6578947368421053,77.34210526315789,101.0,38,2.625,26.32,蚂蚁,蚂蚁
Aqueduct Systems,2.0,571,344,1.3975481611208407,192.20665499124343,798.0,571,1.3993115318416522,60.25,导水系统,导水系统
Aqueduct Systems,3.0,236,95,1.826271186440678,118.27542372881356,431.0,236,1.8333333333333333,40.25,导水系统,导水系统
Aqueduct Systems,4.0,1192,421,2.2181208053691277,89.44379194630872,2644.0,1192,2.220465890183028,35.32,导水系统,导水系统
Aqueduct Systems,5.0,23,9,2.608695652173913,89.17391304347827,60.0,23,2.5757575757575757,39.13,导水系统,导水系统
