card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Flat Mars Theory,269,65,2.591078066914498,80.74721189591078,697.0,269,2.587813620071685,24.16,火星平面理论,火星平面理论
Luna Archives,12,2,2.6666666666666665,99.0,32.0,12,2.590909090909091,16.67,月球档案,月球档案
Soletta,68,12,2.6176470588235294,81.0,178.0,68,2.6025641025641026,17.65,索莱塔,索莱塔
Lunar Dust Processing Plant,21,4,2.6666666666666665,108.71428571428571,56.0,21,2.6129032258064515,19.05,月球灰处理厂,月球灰处理厂
Icy Impactors,96,18,2.6354166666666665,83.25,253.0,96,2.6226415094339623,18.75,冰体撞击器,冰体撞击器
Red Appeasement,81,19,2.6419753086419755,80.49382716049382,214.0,81,2.6263736263736264,23.46,红色和解,红色和解
Comet Aiming,71,16,2.647887323943662,85.01408450704226,188.0,71,2.6296296296296298,22.54,彗星瞄准,彗星瞄准
Lunar Trade Fleet,15,0,2.7333333333333334,64.26666666666667,41.0,15,2.64,0.0,月球船队,月球船队
Fuel Factory,749,162,2.6448598130841123,80.12817089452604,1981.0,749,2.642951251646904,21.63,油脂工厂,油脂工厂
🌸研究催化剂🌸,221,54,2.6515837104072397,79.42986425339366,586.0,221,2.645021645021645,24.43,🌸研究催化剂🌸,研究催化剂
Behemoth Excavator,13,3,2.769230769230769,86.53846153846153,36.0,13,2.652173913043478,23.08,巨兽挖掘机,巨兽挖掘机
Hackers,113,20,2.690265486725664,84.95575221238938,304.0,113,2.6747967479674797,17.7,黑客,黑客
Microprobing Technology,19,4,2.789473684210526,84.78947368421052,53.0,19,2.689655172413793,21.05,微探测技术,微探测技术
Neptunian Power Consultants,385,72,2.703896103896104,80.81558441558441,1041.0,385,2.69873417721519,18.7,海王星能源顾问,海王星能源顾问
Imported Heavy Machinery,18,3,2.8333333333333335,9.444444444444445,51.0,18,2.7142857142857144,16.67,进口重型机械,进口重型机械
Small Duty Rovers,11,3,2.909090909090909,93.54545454545455,32.0,11,2.7142857142857144,27.27,小型履带车。,小型履带车。
Asteroid Hollowing,84,17,2.7857142857142856,79.82142857142857,234.0,84,2.75531914893617,20.24,行星挖掘,行星挖掘
