card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Big Asteroid,2091,830,2.016260162601626,111.36585365853658,4216.0,2091,0.0,2.0231023102310233,39.69,大型小行星,大型小行星
Earth Elevator,1303,526,2.012279355333845,131.2785878741366,2622.0,1303,0.0,2.0232558139534884,40.37,地球太空梯,地球太空梯
Mining Colony,1793,708,2.0156162855549358,121.29392080312326,3614.0,1793,0.0,2.0235874931431708,39.49,采矿殖民地,采矿殖民地
Solar Farm,1686,698,2.015421115065243,111.13879003558719,3398.0,1686,0.0,2.023892773892774,41.4,太阳能农场,太阳能农场
Ice Asteroid,1602,651,2.0149812734082397,112.98314606741573,3228.0,1602,0.0,2.0238970588235294,40.64,结冰行星,结冰行星
Trade Envoys,1475,588,2.0149152542372883,126.36406779661017,2972.0,1475,0.0,2.0245847176079734,39.86,贸易特使,贸易特使
Land Claim,1417,556,2.0148200423429783,121.56739590684545,2855.0,1417,0.0,2.024879060124395,39.24,宣称领土,宣称领土
Nitrite Reducing Bacteria,1119,444,2.0125111706881142,124.20464700625558,2252.0,1119,1.068811438784629,2.0252393385552656,39.68,亚硝酸盐还原菌,亚硝酸盐还原菌
Stratospheric Expedition,2962,1216,2.020594193112762,114.50573936529372,5985.0,2962,0.0,2.0254010695187166,41.05,平流层远征,平流层远征
Sky Docks,2762,1141,2.0202751629254165,116.35336712527155,5580.0,2762,0.0,2.025429799426934,41.31,太空码头,太空码头
Medical Lab,2118,845,2.0188857412653447,122.41312559017942,4276.0,2118,0.0,2.0256052141527,39.9,医疗实验室,医疗实验室
Mining Quota,1525,609,2.0163934426229506,127.04131147540984,3075.0,1525,0.0,2.0257234726688105,39.93,采矿配额,采矿配额
Earth Office,2766,1127,2.0206073752711498,112.66232827187274,5589.0,2766,0.0,2.0257510729613735,40.74,地球办公室,地球办公室
Butterfly Effect,627,265,2.003189792663477,134.3030303030303,1256.0,627,0.0,2.025875190258752,42.26,蝴蝶效应,蝴蝶效应
Martian Dust Processing Plant,830,342,2.0096385542168673,131.47951807228915,1668.0,830,0.0,2.0267441860465114,41.2,粉尘加工厂,粉尘加工厂
Corroder Suits,2048,816,2.02001953125,119.65478515625,4137.0,2048,0.0,2.026948989412897,39.84,防护服,防护服
Food Factory,818,313,2.0097799511002443,137.79706601466992,1644.0,818,0.0,2.027122641509434,38.26,食品工厂,食品工厂
Hospitals,2013,787,2.020367610531545,116.79632389468455,4067.0,2013,4.737704918032787,2.027410670582477,39.1,医院,医院
Trading Colony,2043,824,2.0205580029368577,119.18649045521292,4128.0,2043,0.0,2.0274963820549927,40.33,交易殖民地,交易殖民地
