corporation,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
🌸Protogen🌸,322,86,2.313664596273292,76.2639751552795,745.0,322,5.549689440993789,2.3295454545454546,26.71,🌸微生物热舞🌸,微生物热舞
Soylent Seedling Systems,184,47,2.3043478260869565,48.755434782608695,424.0,184,2.5489130434782608,2.3317757009345796,25.54,索伦特幼苗系统,索伦特幼苗系统
EcoTec,335,89,2.328358208955224,75.27761194029851,780.0,335,5.71044776119403,2.3424657534246576,26.57,EcoTec,EcoTec
Celestic (breakthrough),855,249,2.3485380116959065,82.8233918128655,2008.0,855,6.008187134502924,2.3536723163841806,29.12,Celestic (breakthrough),Celestic (breakthrough)
Id Front,77,27,2.2987012987012987,93.87012987012987,177.0,77,7.220779220779221,2.3551401869158877,35.06,前线基地,前线基地
Ambient,368,100,2.345108695652174,77.42663043478261,863.0,368,5.611413043478261,2.35678391959799,27.17,,
🌸MirrorCoat🌸,291,91,2.3539518900343643,81.3917525773196,685.0,291,5.951890034364261,2.367601246105919,31.27,🌸镜反🌸,镜反
Earth Cat Cult,55,19,2.309090909090909,76.54545454545455,127.0,55,5.618181818181818,2.376470588235294,34.55,Earth Cat Cult,Earth Cat Cult
Vitor,801,250,2.3782771535580522,83.60174781523096,1905.0,801,5.863920099875156,2.3826714801444044,31.21,Vitor,Vitor
Interplanetary Cinematics (breakthrough),852,260,2.3791079812206575,78.49530516431925,2027.0,852,5.806338028169014,2.383219954648526,30.52,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
Spire,572,175,2.3776223776223775,79.4020979020979,1360.0,572,5.753496503496503,2.383720930232558,30.59,Spire,Spire
🌸SolarPlant🌸,532,145,2.3778195488721803,75.60338345864662,1265.0,532,5.657894736842105,2.3843416370106763,27.26,🌸太阳能公司🌸,太阳能公司
Septem Tribus,126,41,2.380952380952381,79.01587301587301,300.0,126,6.063492063492063,2.4038461538461537,32.54,Septem Tribus,Septem Tribus
Polaris,426,110,2.4014084507042255,71.43427230046949,1023.0,426,5.284037558685446,2.4078947368421053,25.82,北极星,北极星
🌸Integrated Microorganisms🌸,743,208,2.4064602960969044,79.42395693135936,1788.0,743,5.72678331090175,2.4100905562742563,27.99,🌸微生物星尘🌸,微生物星尘
Philares,66,19,2.378787878787879,74.45454545454545,157.0,66,6.454545454545454,2.4166666666666665,28.79,,
Chaos,162,47,2.4012345679012346,80.89506172839506,389.0,162,6.018518518518518,2.4166666666666665,29.01,Chaos,Chaos
Hecate Speditions,265,72,2.4113207547169813,84.59622641509434,639.0,265,5.7924528301886795,2.4203389830508475,27.17,赫卡忒探险队,赫卡忒探险队
🌸Scolex Industries🌸,658,175,2.439209726443769,78.29939209726444,1605.0,658,5.890577507598784,2.441860465116279,26.6,🌸星核工业🌸,星核工业
Pobolog (breakthrough),714,194,2.4453781512605044,79.74369747899159,1746.0,714,5.96218487394958,2.4475806451612905,27.17,Pobolog (breakthrough),Pobolog (breakthrough)
Aurorai,146,43,2.4383561643835616,41.513698630136986,356.0,146,1.8424657534246576,2.4488636363636362,29.45,Aurorai,Aurorai
CrediCor,385,85,2.446753246753247,62.32207792207792,942.0,385,4.34025974025974,2.450602409638554,22.08,CrediCor,CrediCor
Imperial Star Destroyer,114,27,2.4473684210526314,91.00877192982456,279.0,114,6.675438596491228,2.4583333333333335,23.68,帝国歼星舰,帝国歼星舰
Sagitta Frontier Services,298,75,2.4630872483221475,77.32214765100672,734.0,298,5.906040268456376,2.466463414634146,25.17,Sagitta Frontier Services,Sagitta Frontier Services
Steelaris,76,18,2.460526315789474,73.73684210526316,187.0,76,5.723684210526316,2.4716981132075473,23.68,钢之星,钢之星
Lakefront Resorts,353,75,2.4730878186968837,72.45325779036827,873.0,353,5.606232294617564,2.475195822454308,21.25,湖畔度假区,湖畔度假区
StormCraft Incorporated (breakthrough),421,100,2.477434679334917,80.84560570071258,1043.0,421,5.957244655581948,2.4789356984478936,23.75,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
Tharsis_republic (breakthrough),161,33,2.484472049689441,77.4472049689441,400.0,161,6.478260869565218,2.486910994764398,20.5,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Incite Ender,290,75,2.496551724137931,76.8344827586207,724.0,290,5.7,2.496875,25.86,Incite Ender,Incite Ender
🌸Shinra Tech🌸,694,152,2.5,78.93515850144092,1735.0,694,5.933717579250721,2.5,21.9,🌸樱花电🌸,樱花电
Viron (breakthrough),535,135,2.5308411214953273,79.97009345794393,1354.0,535,6.02803738317757,2.529203539823009,25.23,Viron (breakthrough),Viron (breakthrough)
Manutech,423,113,2.541371158392435,79.40898345153664,1075.0,423,6.033096926713948,2.5386313465783665,26.71,Manutech,Manutech
Saturn Systems,302,64,2.5463576158940397,81.5728476821192,769.0,302,6.367549668874172,2.5421686746987953,21.19,Saturn Systems,Saturn Systems
Teractor (breakthrough),811,187,2.5499383477188657,79.48581997533908,2068.0,811,5.922318125770653,2.5481569560047563,23.06,Teractor (breakthrough),Teractor (breakthrough)
Pharmacy Union,123,25,2.5609756097560976,75.28455284552845,315.0,123,6.195121951219512,2.549019607843137,20.33,制药联盟,制药联盟
Aristarchus,97,27,2.5670103092783507,81.22680412371135,249.0,97,5.783505154639175,2.5511811023622046,27.84,Aristarchus,Aristarchus
🌸EliteTech🌸,685,171,2.5562043795620437,77.25255474452555,1751.0,685,5.757664233576643,2.5538461538461537,24.96,🌸精英回馈🌸,精英回馈
Valley Trust (breakthrough),959,227,2.5578727841501565,78.99165797705943,2453.0,959,5.9395203336809175,2.5561172901921134,23.67,Valley Trust (breakthrough),Valley Trust (breakthrough)
🌸Mining Corp🌸,625,143,2.56,77.496,1600.0,625,5.872,2.5572519083969465,22.88,🌸钢铁精炼🌸,钢铁精炼
Luna Chain,288,74,2.5694444444444446,80.82638888888889,740.0,288,5.888888888888889,2.5628930817610063,25.69,连月,连月
Labour Union,137,29,2.5839416058394162,38.56204379562044,354.0,137,1.5912408759124088,2.568862275449102,21.17,Labour Union,Labour Union
Bio-Sol,64,14,2.609375,74.890625,167.0,64,6.046875,2.574468085106383,21.88,,
🌸Ark Nova🌸,588,140,2.5850340136054424,79.3656462585034,1520.0,588,5.869047619047619,2.5809061488673137,23.81,🌸方舟动物园🌸,方舟动物园
🌸Tyrell🌸,465,97,2.595698924731183,77.90322580645162,1207.0,465,5.868817204301076,2.5898989898989897,20.86,🌸泰瑞尔公司🌸,泰瑞尔公司
Helion (breakthrough),192,34,2.609375,67.53125,501.0,192,5.864583333333333,2.5945945945945947,17.71,Helion (breakthrough),Helion (breakthrough)
Void,274,62,2.616788321167883,57.46350364963504,717.0,274,3.9927007299270074,2.6052631578947367,22.63,Void,Void
🌸Green Ring🌸,375,88,2.6293333333333333,76.49066666666667,986.0,375,5.9013333333333335,2.619753086419753,23.47,🌸绿环🌸,绿环
Midas,516,130,2.635658914728682,65.04263565891473,1360.0,516,4.496124031007752,2.628205128205128,25.19,Midas,Midas
Point Luna,908,225,2.633259911894273,77.9988986784141,2391.0,908,5.987885462555066,2.628997867803838,24.78,Point Luna,Point Luna
🌸Weyland Yutani🌸,852,175,2.6338028169014085,77.91197183098592,2244.0,852,5.687793427230047,2.629251700680272,20.54,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
Poseidon,518,109,2.638996138996139,77.996138996139,1367.0,518,5.916988416988417,2.6313868613138687,21.04,Poseidon,Poseidon
Trade Navigator,93,18,2.6774193548387095,81.82795698924731,249.0,93,6.516129032258065,2.6341463414634148,19.35,贸易领航者,贸易领航者
Millennium Falcon,91,21,2.681318681318681,72.76923076923077,244.0,91,6.461538461538462,2.6363636363636362,23.08,千年隼,千年隼
Arklight (breakthrough),286,57,2.6538461538461537,76.57692307692308,759.0,286,5.965034965034965,2.6392405063291138,19.93,Arklight (breakthrough),Arklight (breakthrough)
雩喵科学探测器,724,158,2.6450276243093924,77.99447513812154,1915.0,724,5.7569060773480665,2.6392572944297084,21.82,雩喵科学探测器,雩喵科学探测器
Prism,527,130,2.6584440227703983,82.7438330170778,1401.0,527,6.009487666034156,2.649910233393178,24.67,棱镜光谱研究室,棱镜光谱研究室
Robin Haulings,31,6,2.806451612903226,74.74193548387096,87.0,31,6.064516129032258,2.6557377049180326,19.35,罗宾运输,罗宾运输
Robinson Industries (breakthrough),43,7,2.7674418604651163,70.97674418604652,119.0,43,7.162790697674419,2.6575342465753424,16.28,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
Aridor,91,19,2.7472527472527473,77.35164835164835,250.0,91,6.8791208791208796,2.6859504132231407,20.88,Aridor,Aridor
Thorgate (breakthrough),69,11,2.7681159420289854,78.0,191.0,69,7.173913043478261,2.686868686868687,15.94,Thorgate (breakthrough),Thorgate (breakthrough)
🌸StarlinkDrifter🌸,515,110,2.6990291262135924,78.19029126213593,1390.0,515,5.8757281553398055,2.688073394495413,21.36,🌸星链漂流者🌸,星链漂流者
Terralabs Research (breakthrough),354,76,2.7062146892655368,77.62429378531074,958.0,354,6.214689265536723,2.6901041666666665,21.47,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
🌸PoliticalReform🌸,224,48,2.71875,72.91517857142857,609.0,224,5.754464285714286,2.6929133858267718,21.43,🌸制度改革🌸,制度改革
Mining guild (breakthrough),167,26,2.7425149700598803,71.38323353293413,458.0,167,6.149700598802395,2.7055837563451774,15.57,Mining guild (breakthrough),Mining guild (breakthrough)
Inventrix (breakthrough),345,63,2.736231884057971,75.60579710144927,944.0,345,6.260869565217392,2.7173333333333334,18.26,Inventrix (breakthrough),Inventrix (breakthrough)
Utopia Invest,50,5,2.86,73.78,143.0,50,6.0,2.725,10.0,乌托邦投资计划,乌托邦投资计划
Chimera,32,5,2.9375,74.1875,94.0,32,6.84375,2.725806451612903,15.62,奇美拉,奇美拉
Playwrights,262,54,2.7595419847328246,70.5381679389313,723.0,262,5.755725190839694,2.732876712328767,20.61,Playwrights,Playwrights
Palladin Shipping,47,7,2.893617021276596,69.70212765957447,136.0,47,6.76595744680851,2.74025974025974,14.89,Palladin Shipping,Palladin Shipping
Recyclon (breakthrough),83,9,2.8313253012048194,68.75903614457832,235.0,83,5.843373493975903,2.743362831858407,10.84,Recyclon (breakthrough),Recyclon (breakthrough)
Project Workshop,38,4,3.0,73.13157894736842,114.0,38,6.7368421052631575,2.7794117647058822,10.53,Project Workshop,Project Workshop
🌸双轨跃迁🌸,192,31,2.8489583333333335,71.09375,547.0,192,5.708333333333333,2.8018018018018016,16.15,🌸双轨跃迁🌸,双轨跃迁
Pristar (breakthrough),52,7,2.980769230769231,78.26923076923077,155.0,52,6.596153846153846,2.8048780487804876,13.46,Pristar (breakthrough),Pristar (breakthrough)
Curiosity II,56,10,2.982142857142857,72.41071428571429,167.0,56,6.142857142857143,2.813953488372093,17.86,Curiosity II,Curiosity II
Runciter Associates,86,10,2.9302325581395348,71.68604651162791,252.0,86,6.662790697674419,2.8189655172413794,11.63,朗西斯联合公司,朗西斯联合公司
Collegium Copernicus,188,29,2.893617021276596,72.90957446808511,544.0,188,6.031914893617022,2.8394495412844036,15.43,哥白尼学院,哥白尼学院
Factorum (breakthrough),199,29,2.9246231155778895,69.2964824120603,582.0,199,6.341708542713568,2.868995633187773,14.57,Factorum (breakthrough),Factorum (breakthrough)
Cheung Shing MARS,36,3,3.1944444444444446,71.72222222222223,115.0,36,7.055555555555555,2.878787878787879,8.33,Cheung Shing MARS,Cheung Shing MARS
Tycho Magnetics,273,33,2.9633699633699635,72.8058608058608,809.0,273,6.428571428571429,2.9174917491749173,12.09,第谷磁力,第谷磁力
Mars Maths,67,7,3.1343283582089554,70.53731343283582,210.0,67,6.268656716417911,2.9381443298969074,10.45,Mars Maths,Mars Maths
Junk Ventures,112,6,3.294642857142857,64.52678571428571,369.0,112,6.3125,3.1267605633802815,5.36,Junk Ventures,Junk Ventures
