corporation,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Aphrodite (breakthrough),165,74,1.896969696969697,82.94545454545455,313.0,165,6.042424242424242,1.9897435897435898,44.85,Aphrodite (breakthrough),Aphrodite (breakthrough)
🌸Green Leaf Dance🌸,308,107,2.090909090909091,77.76298701298701,644.0,308,5.571428571428571,2.1272189349112427,34.74,🌸绿叶舞动🌸,绿叶舞动
Brotherhood of Mutants,43,21,1.9069767441860466,91.0,82.0,43,6.046511627906977,2.1506849315068495,48.84,变种人兄弟会,变种人兄弟会
Eglogue,299,96,2.1237458193979935,71.56521739130434,635.0,299,5.036789297658863,2.1580547112462005,32.11,Eglogue,Eglogue
Ecoline (breakthrough),344,110,2.1424418604651163,77.34593023255815,737.0,344,5.837209302325581,2.171122994652406,31.98,Ecoline (breakthrough),Ecoline (breakthrough)
MorningStar Inc (breakthrough),528,191,2.162878787878788,90.69128787878788,1142.0,528,6.40719696969697,2.1810035842293907,36.17,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Ringcom,765,241,2.237908496732026,85.3437908496732,1712.0,765,5.790849673202614,2.247798742138365,31.5,Ringcom,Ringcom
UNMI (breakthrough),194,59,2.211340206185567,74.9381443298969,429.0,194,6.097938144329897,2.25,30.41,UNMI (breakthrough),UNMI (breakthrough)
🌸Thermopoli🌸,176,62,2.221590909090909,74.375,391.0,176,5.2897727272727275,2.262135922330097,35.23,🌸精灵热舞🌸,精灵热舞
United Nations Mission One,399,120,2.2531328320802007,69.38847117794487,899.0,399,4.398496240601504,2.2703962703962706,30.08,United Nations Mission One,United Nations Mission One
Splice (breakthrough),702,215,2.264957264957265,81.92307692307692,1590.0,702,5.833333333333333,2.2745901639344264,30.63,Splice (breakthrough),Splice (breakthrough)
🌸Buy N Large🌸,243,78,2.246913580246914,77.53909465020575,546.0,243,5.559670781893004,2.2747252747252746,32.1,🌸大巨购🌸,大巨购
Arcadian Communities (breakthrough),390,122,2.258974358974359,77.81538461538462,881.0,390,5.748717948717949,2.276190476190476,31.28,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
PolderTECH Dutch,128,41,2.2421875,39.296875,287.0,128,1.53125,2.2911392405063293,32.03,荷兰圩田科技,荷兰圩田科技
🌸Prowler🌸,484,142,2.2789256198347108,77.94834710743801,1103.0,484,5.663223140495868,2.291828793774319,29.34,🌸徘徊者🌸,徘徊者
🌸RDA🌸,364,109,2.282967032967033,75.28846153846153,831.0,364,5.582417582417582,2.299492385786802,29.95,🌸RDA🌸,RDA
🌸Energy Saving Ecology🌸,395,119,2.311392405063291,73.8379746835443,913.0,395,5.3822784810126585,2.324705882352941,30.13,🌸节能生态🌸,节能生态
