user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
u2563c7e57a06,255,119,391,40543,2522,12439.0,21765.0,254,254,1.533,158.99,9.89,48.97,85.69,53,425,1,46.67,kanna
ucaacc8203727,229,147,311,25563,2798,11059.0,11852.0,229,229,1.358,111.63,12.22,48.29,51.76,55,167,1,64.19,老谭
u1a08ac34c163,125,95,155,19673,1088,7383.0,9080.0,125,125,1.24,157.38,8.7,59.06,72.64,71,435,1,76.0,comboo
u7d1e6a19446b,112,78,146,14006,1205,5311.0,7178.0,112,112,1.304,125.05,10.76,47.42,64.09,65,193,1,69.64,742856151
ue7b395df37fa,99,51,147,16190,975,5437.0,7550.0,99,99,1.485,163.54,9.85,54.92,76.26,50,813,1,51.52,茄努力
ufaa37b18598a,87,40,134,12628,884,4436.0,6775.0,86,86,1.54,145.15,10.16,51.58,78.78,57,280,1,45.98,目空一切
ua6bbb16bbe3d,76,69,83,9108,850,3803.0,2902.0,76,76,1.092,119.84,11.18,50.04,38.18,79,171,1,90.79,vikiy
d484c04d1ffb,72,67,77,21093,715,4764.0,10490.0,72,72,1.069,292.96,9.93,66.17,145.69,83,998,1,93.06,米饭
ueef8ce60a0a8,70,21,119,7656,709,3182.0,3822.0,70,70,1.7,109.37,10.13,45.46,54.6,49,205,1,30.0,neko
ca90f1372734,69,29,109,9023,687,3680.0,4064.0,69,69,1.58,130.77,9.96,53.33,58.9,51,285,1,42.03,田二
762404b52907,69,38,100,11713,682,4182.0,5507.0,69,69,1.449,169.75,9.88,60.61,79.81,50,337,1,55.07,qiuqipeng
u7f29e964d222,66,34,98,7349,686,2635.0,3176.0,66,66,1.485,111.35,10.39,39.92,48.12,34,355,1,51.52,xp
a4a58d8d632c,65,47,83,11008,723,3321.0,5880.0,65,65,1.277,169.35,11.12,51.09,90.46,96,318,1,72.31,王子
e5db2083b7f5,65,18,112,8499,723,2860.0,5061.0,65,65,1.723,130.75,11.12,44.0,77.86,49,280,1,27.69,猫猫
ud632f8ade8fe,64,32,96,6783,669,2687.0,2564.0,64,64,1.5,105.98,10.45,41.98,40.06,44,241,1,50.0,于立言ben
u44a7b83b09e3,57,30,84,10986,608,3296.0,5818.0,56,56,1.474,192.74,10.67,58.86,103.89,78,692,1,52.63,lingdang
55ef2445c90c,57,25,89,8111,531,3051.0,3207.0,57,57,1.561,142.3,9.32,53.53,56.26,69,290,1,43.86,乙木
89f1c507bebd,51,23,79,9403,545,2983.0,4703.0,50,50,1.549,184.37,10.69,59.66,94.06,69,536,1,45.1,45
ue818dc240bd9,50,39,61,7556,620,2741.0,2950.0,50,50,1.22,151.12,12.4,54.82,59.0,103,228,1,78.0,北风吹
46b2753edcdf,49,32,66,7556,440,2684.0,3965.0,49,49,1.347,154.2,8.98,54.78,80.92,75,800,1,65.31,xu
u99f9ce3f0823,48,19,77,6529,437,2515.0,3144.0,48,48,1.604,136.02,9.1,52.4,65.5,72,314,1,39.58,cellinia
u415be6f19fef,46,17,75,6644,430,2394.0,3659.0,46,46,1.63,144.43,9.35,52.04,79.54,42,707,1,36.96,shoye
u9d2b84e3246f,46,29,63,6456,430,2551.0,3384.0,46,46,1.37,140.35,9.35,55.46,73.57,54,229,1,63.04,lihao
u605ccd3686c6,45,39,51,6933,551,2591.0,3089.0,45,45,1.133,154.07,12.24,57.58,68.64,90,271,1,86.67,扭曲怪
ua079bee53f05,44,23,65,5576,422,2467.0,2606.0,44,44,1.477,126.73,9.59,56.07,59.23,51,230,1,52.27,re
u1703dab9b66a,41,11,71,5498,487,2062.0,2167.0,41,41,1.732,134.1,11.88,50.29,52.85,91,228,1,26.83,东东
ubc6898750ad8,41,26,56,4205,443,1937.0,1312.0,41,41,1.366,102.56,10.8,47.24,32.0,69,148,1,63.41,chan
13f9446ad048,40,24,56,5485,350,2344.0,2191.0,40,40,1.4,137.12,8.75,58.6,54.78,79,240,1,60.0,6mmmm
u4ed4c52c2a9d,39,28,50,4490,337,1874.0,1784.0,39,39,1.282,115.13,8.64,48.05,45.74,49,217,1,71.79,μ!
u733fe426ddc1,39,14,64,3887,372,1810.0,1398.0,39,39,1.641,99.67,9.54,46.41,35.85,64,168,1,35.9,fenglin_18
u1e4d6d75b8fd,38,13,63,4437,374,1639.0,2385.0,38,38,1.658,116.76,9.84,43.13,62.76,63,172,1,34.21,peach
