corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Pobolog (breakthrough),4,714,194,2.4453781512605044,79.74369747899159,1746.0,714,5.96218487394958,2.446132596685083,27.17,Pobolog (breakthrough),Pobolog (breakthrough)
CrediCor,4,385,85,2.446753246753247,62.32207792207792,942.0,385,4.34025974025974,2.448101265822785,22.08,CrediCor,CrediCor
Imperial Star Destroyer,4,114,27,2.4473684210526314,91.00877192982456,279.0,114,6.675438596491228,2.4516129032258065,23.68,帝国歼星舰,帝国歼星舰
Keplertec,4,1,0,2.0,95.0,2.0,1,6.0,2.4545454545454546,0.0,Keplertec,Keplertec
Voltagon,4,1,0,2.0,99.0,2.0,1,6.0,2.4545454545454546,0.0,Voltagon,Voltagon
Sagitta Frontier Services,4,298,75,2.4630872483221475,77.32214765100672,734.0,298,5.906040268456376,2.4642857142857144,25.17,Sagitta Frontier Services,Sagitta Frontier Services
Steelaris,4,76,18,2.460526315789474,73.73684210526316,187.0,76,5.723684210526316,2.4651162790697674,23.68,钢之星,钢之星
Lakefront Resorts,4,353,75,2.4730878186968837,72.45325779036827,873.0,353,5.606232294617564,2.4738292011019283,21.25,湖畔度假区,湖畔度假区
StormCraft Incorporated (breakthrough),4,421,100,2.477434679334917,80.84560570071258,1043.0,421,5.957244655581948,2.4779582366589326,23.75,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
Tharsis_republic (breakthrough),4,161,33,2.484472049689441,77.4472049689441,400.0,161,6.478260869565218,2.4853801169590644,20.5,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Incite Ender,4,290,75,2.496551724137931,76.8344827586207,724.0,290,5.7,2.4966666666666666,25.86,Incite Ender,Incite Ender
🌸Shinra Tech🌸,4,694,152,2.5,78.93515850144092,1735.0,694,5.933717579250721,2.5,21.9,🌸樱花电🌸,樱花电
Polyphemos (breakthrough),4,23,6,2.5217391304347827,79.21739130434783,58.0,23,7.130434782608695,2.515151515151515,26.09,Polyphemos (breakthrough),Polyphemos (breakthrough)
Habitat Marte,4,7,2,2.5714285714285716,78.0,18.0,7,6.142857142857143,2.5294117647058822,28.57,火星栖息地,火星栖息地
Incite,4,7,2,2.5714285714285716,76.14285714285714,18.0,7,7.142857142857143,2.5294117647058822,28.57,Incite,Incite
Viron (breakthrough),4,535,135,2.5308411214953273,79.97009345794393,1354.0,535,6.02803738317757,2.530275229357798,25.23,Viron (breakthrough),Viron (breakthrough)
Luna First Incorporated,4,5,0,2.6,80.2,13.0,5,7.2,2.533333333333333,0.0,月球先行公司,月球先行公司
Manutech,4,423,113,2.541371158392435,79.40898345153664,1075.0,423,6.033096926713948,2.540415704387991,26.71,Manutech,Manutech
Saturn Systems,4,302,64,2.5463576158940397,81.5728476821192,769.0,302,6.367549668874172,2.5448717948717947,21.19,Saturn Systems,Saturn Systems
Anubis Securities,4,1,0,3.0,83.0,3.0,1,7.0,2.5454545454545454,0.0,阿努比斯证券,阿努比斯证券
Teractor (breakthrough),4,811,187,2.5499383477188657,79.48581997533908,2068.0,811,5.922318125770653,2.5493300852618757,23.06,Teractor (breakthrough),Teractor (breakthrough)
🌸EliteTech🌸,4,685,171,2.5562043795620437,77.25255474452555,1751.0,685,5.757664233576643,2.5553956834532374,24.96,🌸精英回馈🌸,精英回馈
Pharmacy Union,4,123,25,2.5609756097560976,75.28455284552845,315.0,123,6.195121951219512,2.556390977443609,20.33,制药联盟,制药联盟
Valley Trust (breakthrough),4,959,227,2.5578727841501565,78.99165797705943,2453.0,959,5.9395203336809175,2.557275541795666,23.67,Valley Trust (breakthrough),Valley Trust (breakthrough)
🌸Mining Corp🌸,4,625,143,2.56,77.496,1600.0,625,5.872,2.559055118110236,22.88,🌸钢铁精炼🌸,钢铁精炼
Aristarchus,4,97,27,2.5670103092783507,81.22680412371135,249.0,97,5.783505154639175,2.560747663551402,27.84,Aristarchus,Aristarchus
Martian Insurance Group,4,22,3,2.590909090909091,69.77272727272727,57.0,22,6.2272727272727275,2.5625,13.64,火星保险集团,火星保险集团
Luna Chain,4,288,74,2.5694444444444446,80.82638888888889,740.0,288,5.888888888888889,2.5671140939597317,25.69,连月,连月
Luna Trade Federation,4,4,0,2.75,80.25,11.0,4,8.0,2.5714285714285716,0.0,月球贸易联盟,月球贸易联盟
Labour Union,4,137,29,2.5839416058394162,38.56204379562044,354.0,137,1.5912408759124088,2.578231292517007,21.17,Labour Union,Labour Union
🌸Ark Nova🌸,4,588,140,2.5850340136054424,79.3656462585034,1520.0,588,5.869047619047619,2.5836120401337794,23.81,🌸方舟动物园🌸,方舟动物园
🌸Tyrell🌸,4,465,97,2.595698924731183,77.90322580645162,1207.0,465,5.868817204301076,2.5936842105263156,20.86,🌸泰瑞尔公司🌸,泰瑞尔公司
Bio-Sol,4,64,14,2.609375,74.890625,167.0,64,6.046875,2.5945945945945947,21.88,,
Jenson-Boyle & Co,4,5,1,2.8,77.0,14.0,5,6.4,2.6,20.0,詹森-博伊尔公司,詹森-博伊尔公司
Helion (breakthrough),4,192,34,2.609375,67.53125,501.0,192,5.864583333333333,2.603960396039604,17.71,Helion (breakthrough),Helion (breakthrough)
Void,4,274,62,2.616788321167883,57.46350364963504,717.0,274,3.9927007299270074,2.612676056338028,22.63,Void,Void
Adhai High Orbit Constructions,4,11,2,2.727272727272727,84.81818181818181,30.0,11,7.181818181818182,2.619047619047619,18.18,阿迪海高轨道建设,阿迪海高轨道建设
Athena,4,14,2,2.7142857142857144,87.5,38.0,14,7.0,2.625,14.29,Athena,Athena
Crescent Research Association,4,6,0,2.8333333333333335,95.0,17.0,6,8.0,2.625,0.0,月牙研究联盟,月牙研究联盟
🌸Green Ring🌸,4,375,88,2.6293333333333333,76.49066666666667,986.0,375,5.9013333333333335,2.625974025974026,23.47,🌸绿环🌸,绿环
Point Luna,4,908,225,2.633259911894273,77.9988986784141,2391.0,908,5.987885462555066,2.6318082788671022,24.78,Point Luna,Point Luna
🌸Weyland Yutani🌸,4,852,175,2.6338028169014085,77.91197183098592,2244.0,852,5.687793427230047,2.6322505800464038,20.54,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
Midas,4,516,130,2.635658914728682,65.04263565891473,1360.0,516,4.496124031007752,2.6330798479087454,25.19,Midas,Midas
The Grand Luna Capital Group,4,1,0,4.0,64.0,4.0,1,8.0,2.6363636363636362,0.0,大月亮资本集团,大月亮资本集团
Poseidon,4,518,109,2.638996138996139,77.996138996139,1367.0,518,5.916988416988417,2.6363636363636362,21.04,Poseidon,Poseidon
Demetron Labs,4,1,0,4.0,73.0,4.0,1,7.0,2.6363636363636362,0.0,德米特伦实验室,德米特伦实验室
Intragen Sanctuary Headquarters,4,1,0,4.0,67.0,4.0,1,7.0,2.6363636363636362,0.0,Intragen避难所总部,Intragen避难所总部
Luna Hyperloop Corporation,4,1,0,4.0,67.0,4.0,1,7.0,2.6363636363636362,0.0,月球超级高速列车,月球超级高速列车
Kuiper Cooperative,4,18,3,2.7222222222222223,75.94444444444444,49.0,18,7.333333333333333,2.642857142857143,16.67,Kuiper Cooperative,Kuiper Cooperative
雩喵科学探测器,4,724,158,2.6450276243093924,77.99447513812154,1915.0,724,5.7569060773480665,2.6430517711171664,21.82,雩喵科学探测器,雩喵科学探测器
Henkei Genetics,4,7,1,2.857142857142857,70.0,20.0,7,5.714285714285714,2.6470588235294117,14.29,变形遗传学,变形遗传学
Arklight (breakthrough),4,286,57,2.6538461538461537,76.57692307692308,759.0,286,5.965034965034965,2.6486486486486487,19.93,Arklight (breakthrough),Arklight (breakthrough)
Astrodrill,4,27,6,2.7037037037037037,25.59259259259259,73.0,27,7.185185185185185,2.6486486486486487,22.22,天体钻井,天体钻井
Prism,4,527,130,2.6584440227703983,82.7438330170778,1401.0,527,6.009487666034156,2.655493482309125,24.67,棱镜光谱研究室,棱镜光谱研究室
Trade Navigator,4,93,18,2.6774193548387095,81.82795698924731,249.0,93,6.516129032258065,2.6601941747572817,19.35,贸易领航者,贸易领航者
Millennium Falcon,4,91,21,2.681318681318681,72.76923076923077,244.0,91,6.461538461538462,2.6633663366336635,23.08,千年隼,千年隼
The Archaic Foundation Institute,4,3,0,3.3333333333333335,85.66666666666667,10.0,3,8.333333333333334,2.6923076923076925,0.0,原始基金会研究所,原始基金会研究所
🌸StarlinkDrifter🌸,4,515,110,2.6990291262135924,78.19029126213593,1390.0,515,5.8757281553398055,2.6952380952380954,21.36,🌸星链漂流者🌸,星链漂流者
Terralabs Research (breakthrough),4,354,76,2.7062146892655368,77.62429378531074,958.0,354,6.214689265536723,2.7005494505494507,21.47,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Colonial One,4,7,1,3.0,70.42857142857143,21.0,7,6.714285714285714,2.7058823529411766,14.29,Colonial One,Colonial One
🌸PoliticalReform🌸,4,224,48,2.71875,72.91517857142857,609.0,224,5.754464285714286,2.7094017094017095,21.43,🌸制度改革🌸,制度改革
Hotsprings,4,4,0,3.25,70.5,13.0,4,7.5,2.7142857142857144,0.0,Hotsprings,Hotsprings
Robinson Industries (breakthrough),4,43,7,2.7674418604651163,70.97674418604652,119.0,43,7.162790697674419,2.7169811320754715,16.28,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
Mars Direct,4,8,1,3.0,78.125,24.0,8,6.375,2.7222222222222223,12.5,火星直通车,火星直通车
Aridor,4,91,19,2.7472527472527473,77.35164835164835,250.0,91,6.8791208791208796,2.722772277227723,20.88,Aridor,Aridor
