card_name,corporation,play_count,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,card_cn_name,corp_cn_name
Molecular Printing,Interplanetary Cinematics (breakthrough),78,39,91.34615384615384,146.0,78,1.9431818181818181,50.0,分子打印,Interplanetary Cinematics (breakthrough)
Heather,Point Luna,43,24,99.90697674418605,78.0,43,1.9433962264150944,55.81,帚石楠,Point Luna
Immigrant City,MorningStar Inc (breakthrough),44,21,107.54545454545455,80.0,44,1.9444444444444444,47.73,移民城市,MorningStar Inc (breakthrough)
Mangrove,🌸Energy Saving Ecology🌸,26,13,82.3076923076923,45.0,26,1.9444444444444444,50.0,红树林,🌸节能生态🌸
Ecological Zone:ares,Incite Ender,26,10,94.15384615384616,45.0,26,1.9444444444444444,38.46,Ecological Zone:ares,Incite Ender
Controlled Bloom,🌸Buy N Large🌸,26,13,86.88461538461539,45.0,26,1.9444444444444444,50.0,爆破控制,🌸大巨购🌸
Atmoscoop,Celestic (breakthrough),134,60,92.26865671641791,255.0,134,1.9444444444444444,44.78,大气束缚场,Celestic (breakthrough)
Big Asteroid,Spire,45,23,92.97777777777777,82.0,45,1.9454545454545455,51.11,大型小行星,Spire
Conscription,Arcadian Communities (breakthrough),27,14,84.4074074074074,47.0,27,1.945945945945946,51.85,征兵,Arcadian Communities (breakthrough)
Grass,MorningStar Inc (breakthrough),27,12,101.62962962962963,47.0,27,1.945945945945946,44.44,草,MorningStar Inc (breakthrough)
Communication Center,Ringcom,27,14,103.07407407407408,47.0,27,1.945945945945946,51.85,通讯中心,Ringcom
Soil Enrichment,🌸MirrorCoat🌸,27,13,96.77777777777777,47.0,27,1.945945945945946,48.15,土壤改良,🌸镜反🌸
Dusk Laser Mining,Arcadian Communities (breakthrough),27,14,99.5925925925926,47.0,27,1.945945945945946,51.85,黄昏激光矿业,Arcadian Communities (breakthrough)
Solar Logistics,Vitor,46,25,103.47826086956522,84.0,46,1.9464285714285714,54.35,太阳能物流,Vitor
Cloud City (V),MorningStar Inc (breakthrough),102,47,94.70588235294117,193.0,102,1.9464285714285714,46.08,Cloud City (V),MorningStar Inc (breakthrough)
Sister Planet Support,🌸Scolex Industries🌸,46,22,86.3913043478261,84.0,46,1.9464285714285714,47.83,姊妹星球支持,🌸星核工业🌸
Terraforming Control Station,🌸Protogen🌸,28,14,89.39285714285714,49.0,28,1.9473684210526316,50.0,改造控制站,🌸微生物热舞🌸
Diaspora Movement,MorningStar Inc (breakthrough),28,14,102.85714285714286,49.0,28,1.9473684210526316,50.0,大流散运动,MorningStar Inc (breakthrough)
Hydrogen to Venus,Vitor,47,24,99.08510638297872,86.0,47,1.9473684210526316,51.06,输送氢气到金星,Vitor
Convoy From Europa,🌸Scolex Industries🌸,47,26,92.57446808510639,86.0,47,1.9473684210526316,55.32,木卫二护航队,🌸星核工业🌸
Sister Planet Sponsors,MorningStar Inc (breakthrough),105,54,98.15238095238095,199.0,105,1.9478260869565218,51.43,姊妹星球赞助,MorningStar Inc (breakthrough)
Viral Enhancers,Ecoline (breakthrough),29,15,89.17241379310344,51.0,29,1.9487179487179487,51.72,病毒增强,Ecoline (breakthrough)
Social Events,Point Luna,29,15,100.55172413793103,51.0,29,1.9487179487179487,51.72,社交活动,Point Luna
City Parks,Valley Trust (breakthrough),29,12,96.34482758620689,51.0,29,1.9487179487179487,41.38,城市公园,Valley Trust (breakthrough)
AntiGravity Experiment,Splice (breakthrough),49,24,96.22448979591837,90.0,49,1.9491525423728813,48.98,反重力先行试验,Splice (breakthrough)
Kelp Farming,Saturn Systems,10,7,99.5,14.0,10,1.95,70.0,养殖海藻,Saturn Systems
Carbonate Processing,🌸Integrated Microorganisms🌸,10,6,100.8,14.0,10,1.95,60.0,碳酸盐处理,🌸微生物星尘🌸
Tundra Farming,MorningStar Inc (breakthrough),30,17,100.23333333333333,53.0,30,1.95,56.67,冻原农耕,MorningStar Inc (breakthrough)
