card_name,corporation,play_count,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,card_cn_name,corp_cn_name
Solar Farm,Splice (breakthrough),57,23,85.3859649122807,117.0,57,2.1194029850746268,40.35,太阳能农场,Splice (breakthrough)
Venusian Insects,MorningStar Inc (breakthrough),124,43,94.53225806451613,259.0,124,2.1194029850746268,34.68,金星昆虫,MorningStar Inc (breakthrough)
Floyd Continuum,Teractor (breakthrough),82,30,94.40243902439025,170.0,82,2.119565217391304,36.59,弗洛伊德连续体,Teractor (breakthrough)
Astra Mechanica,Vitor,82,32,93.53658536585365,170.0,82,2.119565217391304,39.02,星械会,Vitor
Astra Mechanica,Septem Tribus,15,7,84.8,28.0,15,2.12,46.67,星械会,Septem Tribus
Lake Marineris,Sagitta Frontier Services,15,6,86.26666666666667,28.0,15,2.12,40.0,水手湖,Sagitta Frontier Services
Galilean Waystation,🌸Energy Saving Ecology🌸,15,7,77.86666666666666,28.0,15,2.12,46.67,伽利略中转站,🌸节能生态🌸
Nitrophilic Moss,Eglogue,15,7,74.4,28.0,15,2.12,46.67,嗜中性苔藓,Eglogue
Copernicus Solar Arrays,MorningStar Inc (breakthrough),15,7,98.2,28.0,15,2.12,46.67,哥白尼太阳能电池,MorningStar Inc (breakthrough)
Crash Site Cleanup,Interplanetary Cinematics (breakthrough),90,35,89.14444444444445,187.0,90,2.12,38.89,陨石坑清洁,Interplanetary Cinematics (breakthrough)
Local Heat Trapping,🌸Thermopoli🌸,15,6,88.0,28.0,15,2.12,40.0,本地的热量陷阱,🌸精灵热舞🌸
Power Supply Consortium,🌸MirrorCoat🌸,15,8,95.66666666666667,28.0,15,2.12,53.33,电力供应共同体,🌸镜反🌸
Hospitals,Splice (breakthrough),40,14,90.85,81.0,40,2.12,35.0,医院,Splice (breakthrough)
Aerosport Tournament,Midas,15,7,98.46666666666667,28.0,15,2.12,46.67,航空运动锦标赛,Midas
SF Memorial,Spire,65,27,89.23076923076923,134.0,65,2.12,41.54,SF纪念碑,Spire
Magnetic Field Generators:ares,🌸MirrorCoat🌸,15,9,98.33333333333333,28.0,15,2.12,60.0,Magnetic Field Generators:ares,🌸镜反🌸
Law Suit,🌸Green Ring🌸,15,7,95.26666666666667,28.0,15,2.12,46.67,诉讼,🌸绿环🌸
Investment Loan,Hecate Speditions,40,15,94.775,81.0,40,2.12,37.5,投资性贷款,赫卡忒探险队
Restricted Area,Valley Trust (breakthrough),15,6,95.73333333333333,28.0,15,2.12,40.0,管制区,Valley Trust (breakthrough)
Envoys From Venus,Arcadian Communities (breakthrough),15,7,79.46666666666667,28.0,15,2.12,46.67,金星来使,Arcadian Communities (breakthrough)
Airliners,Incite Ender,15,6,87.66666666666667,28.0,15,2.12,40.0,航空公司,Incite Ender
Cyanobacteria,🌸Green Ring🌸,15,5,98.0,28.0,15,2.12,33.33,蓝藻菌,🌸绿环🌸
Terraforming Robots,🌸SolarPlant🌸,15,7,94.26666666666667,28.0,15,2.12,46.67,改造机器人,🌸太阳能公司🌸
Interplanetary Colony Ship,🌸Green Leaf Dance🌸,15,5,87.13333333333334,28.0,15,2.12,33.33,星际殖民船,🌸绿叶舞动🌸
Methane From Titan,🌸EliteTech🌸,15,8,104.53333333333333,28.0,15,2.12,53.33,来自泰坦的甲烷,🌸精英回馈🌸
Lagrange Observatory,UNMI (breakthrough),15,5,52.53333333333333,28.0,15,2.12,33.33,拉格朗日观察点,UNMI (breakthrough)
PR Office,Septem Tribus,15,6,93.8,28.0,15,2.12,40.0,公关办公室,Septem Tribus
Lava Flows:ares,🌸Scolex Industries🌸,40,16,85.4,81.0,40,2.12,40.0,Lava Flows:ares,🌸星核工业🌸
Mohole Area:ares,Vitor,15,6,98.93333333333334,28.0,15,2.12,40.0,Mohole Area:ares,Vitor
Ice Asteroid,Hecate Speditions,15,6,101.4,28.0,15,2.12,40.0,结冰行星,赫卡忒探险队
Mangrove,Pobolog (breakthrough),40,19,84.85,81.0,40,2.12,47.5,红树林,Pobolog (breakthrough)
Greenhouses,Id Front,15,8,102.93333333333334,28.0,15,2.12,53.33,温室,前线基地
Ishtar Expedition,🌸Buy N Large🌸,15,6,93.8,28.0,15,2.12,40.0,伊什塔尔远征,🌸大巨购🌸
Harvest,🌸Weyland Yutani🌸,65,20,93.0923076923077,134.0,65,2.12,30.77,丰收,🌸韦兰德-尤坦尼集团🌸
Stratospheric Birds,🌸Energy Saving Ecology🌸,15,5,83.26666666666667,28.0,15,2.12,33.33,平流层的鸟类,🌸节能生态🌸
Copernicus Solar Arrays,Spire,15,7,88.93333333333334,28.0,15,2.12,46.67,哥白尼太阳能电池,Spire
Venus Allies,🌸Shinra Tech🌸,40,14,90.875,81.0,40,2.12,35.0,金星盟友,🌸樱花电🌸
Cryptocurrency,🌸Energy Saving Ecology🌸,15,6,84.53333333333333,28.0,15,2.12,40.0,加密货币,🌸节能生态🌸
Aqueduct Systems,Ambient,15,6,83.13333333333334,28.0,15,2.12,40.0,导水系统,
Phobos Space Haven,Tharsis_republic (breakthrough),15,6,85.93333333333334,28.0,15,2.12,40.0,福波斯(火卫一)空间港,Tharsis_republic (breakthrough)
Farming,Viron (breakthrough),15,8,99.66666666666667,28.0,15,2.12,53.33,农业,Viron (breakthrough)
Eos Chasma National Park,Ambient,15,6,88.53333333333333,28.0,15,2.12,40.0,Eos 峡谷国家公园,
Martian Lumber Corp,MorningStar Inc (breakthrough),15,8,103.46666666666667,28.0,15,2.12,53.33,火星木材公司,MorningStar Inc (breakthrough)
Miranda Resort,🌸Thermopoli🌸,15,7,85.46666666666667,28.0,15,2.12,46.67,米兰达度假村,🌸精灵热舞🌸
GMO Contract,Celestic (breakthrough),73,27,90.36986301369863,151.0,73,2.1204819277108435,36.99,转基因生物合约,Celestic (breakthrough)
Ceres Tech Market,MorningStar Inc (breakthrough),48,16,96.10416666666667,98.0,48,2.1206896551724137,33.33,谷神星科技市场,MorningStar Inc (breakthrough)
Venusian Plants,Splice (breakthrough),48,15,94.25,98.0,48,2.1206896551724137,31.25,金星植物,Splice (breakthrough)
Local Heat Trapping,🌸Weyland Yutani🌸,48,18,93.95833333333333,98.0,48,2.1206896551724137,37.5,本地的热量陷阱,🌸韦兰德-尤坦尼集团🌸
Designed Organisms,🌸Scolex Industries🌸,48,21,95.22916666666667,98.0,48,2.1206896551724137,43.75,生物体设计,🌸星核工业🌸
Clone Technology,🌸Integrated Microorganisms🌸,106,44,90.29245283018868,221.0,106,2.1206896551724137,41.51,克隆科技,🌸微生物星尘🌸
Ecological Survey,🌸Scolex Industries🌸,48,17,89.4375,98.0,48,2.1206896551724137,35.42,生态调查,🌸星核工业🌸
Deuterium Export,🌸Scolex Industries🌸,48,18,88.08333333333333,98.0,48,2.1206896551724137,37.5,输出氘,🌸星核工业🌸
Giant Solar Shade,Ringcom,48,21,92.89583333333333,98.0,48,2.1206896551724137,43.75,巨型日光遮蔽器,Ringcom
Designed Organisms,🌸StarlinkDrifter🌸,48,20,109.97916666666667,98.0,48,2.1206896551724137,41.67,生物体设计,🌸星链漂流者🌸
Interplanetary Colony Ship,🌸Integrated Microorganisms🌸,81,35,89.14814814814815,168.0,81,2.120879120879121,43.21,星际殖民船,🌸微生物星尘🌸
AI Central,Vitor,81,34,98.22222222222223,168.0,81,2.120879120879121,41.98,人工智能核心,Vitor
Supported Research,Celestic (breakthrough),81,36,89.66666666666667,168.0,81,2.120879120879121,44.44,受扶持的研究,Celestic (breakthrough)
Expedition Vehicles,Spire,23,11,96.8695652173913,45.0,23,2.121212121212121,47.83,远征车,Spire
Unexpected Application,Incite Ender,23,9,87.6086956521739,45.0,23,2.121212121212121,39.13,意外应用,Incite Ender
Clone Technology,🌸StarlinkDrifter🌸,23,11,122.17391304347827,45.0,23,2.121212121212121,47.83,克隆科技,🌸星链漂流者🌸
Deimos Down:ares,Arcadian Communities (breakthrough),23,8,83.95652173913044,45.0,23,2.121212121212121,34.78,Deimos Down:ares,Arcadian Communities (breakthrough)
16 Psyche,🌸Green Ring🌸,23,10,97.1304347826087,45.0,23,2.121212121212121,43.48,灵神星16,🌸绿环🌸
Sky Docks,🌸Energy Saving Ecology🌸,23,13,84.8695652173913,45.0,23,2.121212121212121,56.52,太空码头,🌸节能生态🌸
Imported Nutrients,🌸Energy Saving Ecology🌸,23,10,79.21739130434783,45.0,23,2.121212121212121,43.48,营养物输入,🌸节能生态🌸
Whales,雩喵科学探测器,23,10,101.08695652173913,45.0,23,2.121212121212121,43.48,鲸鱼,雩喵科学探测器
Farming,Pobolog (breakthrough),23,8,91.0,45.0,23,2.121212121212121,34.78,农业,Pobolog (breakthrough)
Ecological Zone:ares,🌸SolarPlant🌸,56,24,87.42857142857143,115.0,56,2.121212121212121,42.86,Ecological Zone:ares,🌸太阳能公司🌸
Mining Rights:ares,Eglogue,23,6,74.21739130434783,45.0,23,2.121212121212121,26.09,Mining Rights:ares,Eglogue
Solar Storm,StormCraft Incorporated (breakthrough),23,9,88.47826086956522,45.0,23,2.121212121212121,39.13,太阳风暴,StormCraft Incorporated (breakthrough)
Aqueduct Systems,United Nations Mission One,23,11,106.43478260869566,45.0,23,2.121212121212121,47.83,导水系统,United Nations Mission One
Ecology Research,🌸Shinra Tech🌸,23,9,94.3913043478261,45.0,23,2.121212121212121,39.13,生态学研究,🌸樱花电🌸
Pets,Ambient,23,9,89.69565217391305,45.0,23,2.121212121212121,39.13,宠物,
Sabotage,Splice (breakthrough),23,9,85.0,45.0,23,2.121212121212121,39.13,蓄意破坏,Splice (breakthrough)
Hydrothermal Vent Archaea,🌸Green Leaf Dance🌸,23,9,85.21739130434783,45.0,23,2.121212121212121,39.13,深海热泉细菌,🌸绿叶舞动🌸
Decomposers,🌸Tyrell🌸,56,22,93.80357142857143,115.0,56,2.121212121212121,39.29,分解者,🌸泰瑞尔公司🌸
Noctis City,🌸Energy Saving Ecology🌸,23,10,76.95652173913044,45.0,23,2.121212121212121,43.48,诺提斯城,🌸节能生态🌸
Solar Farm,🌸Integrated Microorganisms🌸,64,26,85.125,132.0,64,2.1216216216216215,40.62,太阳能农场,🌸微生物星尘🌸
Extremophiles,🌸Shinra Tech🌸,64,23,88.78125,132.0,64,2.1216216216216215,35.94,极端微生物,🌸樱花电🌸
Cutting Edge Technology,Spire,64,29,86.65625,132.0,64,2.1216216216216215,45.31,前沿科技,Spire
Maxwell Base,Celestic (breakthrough),105,38,91.37142857142857,219.0,105,2.121739130434783,36.19,麦克斯韦基地,Celestic (breakthrough)
New Holland,🌸Weyland Yutani🌸,31,11,95.90322580645162,62.0,31,2.1219512195121952,35.48,新荷兰,🌸韦兰德-尤坦尼集团🌸
Birds,🌸StarlinkDrifter🌸,31,13,103.19354838709677,62.0,31,2.1219512195121952,41.94,鸟,🌸星链漂流者🌸
Nanofoundry,🌸Ark Nova🌸,31,11,108.51612903225806,62.0,31,2.1219512195121952,35.48,纳米铸造厂,🌸方舟动物园🌸
Nitrogen-Rich Asteroid,Ringcom,31,14,94.41935483870968,62.0,31,2.1219512195121952,45.16,富氮小行星,Ringcom
Energy Station,Viron (breakthrough),31,12,94.06451612903226,62.0,31,2.1219512195121952,38.71,能源站,Viron (breakthrough)
Ceres Spaceport,Spire,31,13,94.48387096774194,62.0,31,2.1219512195121952,41.94,谷神星太空港,Spire
Ecological Zone:ares,🌸Energy Saving Ecology🌸,31,14,80.38709677419355,62.0,31,2.1219512195121952,45.16,Ecological Zone:ares,🌸节能生态🌸
Mercurian Alloys,Spire,72,28,90.0,149.0,72,2.1219512195121952,38.89,水星合金,Spire
Meat Industry,Hecate Speditions,31,13,91.3225806451613,62.0,31,2.1219512195121952,41.94,肉类工业,赫卡忒探险队
Aerosport Tournament,Point Luna,39,17,103.28205128205128,79.0,39,2.122448979591837,43.59,航空运动锦标赛,Point Luna
Advanced Ecosystems,Pobolog (breakthrough),39,16,97.97435897435898,79.0,39,2.122448979591837,41.03,先进的生态系统,Pobolog (breakthrough)
Red Tourism Wave,🌸Ark Nova🌸,39,16,94.46153846153847,79.0,39,2.122448979591837,41.03,红色旅游风潮,🌸方舟动物园🌸
Luna Governor,🌸Tyrell🌸,39,16,93.02564102564102,79.0,39,2.122448979591837,41.03,月球政府,🌸泰瑞尔公司🌸
Luna Governor,🌸Scolex Industries🌸,39,16,97.41025641025641,79.0,39,2.122448979591837,41.03,月球政府,🌸星核工业🌸
Symbiotic Fungus,Vitor,39,18,97.94871794871794,79.0,39,2.122448979591837,46.15,共生真菌,Vitor
Advanced Ecosystems,🌸SolarPlant🌸,39,16,87.7948717948718,79.0,39,2.122448979591837,41.03,先进的生态系统,🌸太阳能公司🌸
Atmoscoop,Ringcom,145,54,91.11724137931034,304.0,145,2.1225806451612903,37.24,大气束缚场,Ringcom
Clone Technology,Splice (breakthrough),96,34,86.38541666666667,200.0,96,2.1226415094339623,35.42,克隆科技,Splice (breakthrough)
Waste Incinerator,🌸StarlinkDrifter🌸,47,18,106.04255319148936,96.0,47,2.1228070175438596,38.3,垃圾焚烧站,🌸星链漂流者🌸
Imported Nitrogen,🌸StarlinkDrifter🌸,47,19,98.02127659574468,96.0,47,2.1228070175438596,40.43,引入氮气,🌸星链漂流者🌸
L1 Trade Terminal,Ringcom,47,17,91.44680851063829,96.0,47,2.1228070175438596,36.17,L1 贸易终端,Ringcom
Cyanobacteria,Ringcom,47,14,94.23404255319149,96.0,47,2.1228070175438596,29.79,蓝藻菌,Ringcom
Secret Labs,🌸Shinra Tech🌸,55,19,90.67272727272727,113.0,55,2.123076923076923,34.55,秘密实验室,🌸樱花电🌸
Cow,🌸EliteTech🌸,55,26,90.74545454545455,113.0,55,2.123076923076923,47.27,奶牛,🌸精英回馈🌸
Local Shading,Ringcom,55,21,93.23636363636363,113.0,55,2.123076923076923,38.18,局部遮蔽,Ringcom
Adaptation Technology,Valley Trust (breakthrough),55,25,93.32727272727273,113.0,55,2.123076923076923,45.45,适应性技术,Valley Trust (breakthrough)
Large Ecological Reserve,Interplanetary Cinematics (breakthrough),55,24,88.6,113.0,55,2.123076923076923,43.64,大型生态保护区,Interplanetary Cinematics (breakthrough)
Huygens Observatory,Celestic (breakthrough),71,24,91.14084507042253,147.0,71,2.123456790123457,33.8,惠更斯天文台,Celestic (breakthrough)
Unexpected Application,MorningStar Inc (breakthrough),95,39,92.46315789473684,198.0,95,2.123809523809524,41.05,意外应用,MorningStar Inc (breakthrough)
Maxwell Base,MorningStar Inc (breakthrough),103,40,94.7864077669903,215.0,103,2.1238938053097347,38.83,麦克斯韦基地,MorningStar Inc (breakthrough)
Terraforming Control Station,Septem Tribus,14,6,89.64285714285714,26.0,14,2.125,42.86,改造控制站,Septem Tribus
Deuterium Export,Splice (breakthrough),46,18,89.56521739130434,94.0,46,2.125,39.13,输出氘,Splice (breakthrough)
Neutralizer Factory,Incite Ender,22,11,77.81818181818181,43.0,22,2.125,50.0,中和剂工厂,Incite Ender
New Holland,Arcadian Communities (breakthrough),22,9,83.95454545454545,43.0,22,2.125,40.91,新荷兰,Arcadian Communities (breakthrough)
Sabotage,Ambient,14,6,87.92857142857143,26.0,14,2.125,42.86,蓄意破坏,
New Holland,Manutech,14,7,91.07142857142857,26.0,14,2.125,50.0,新荷兰,Manutech
Carbon Nanosystems,Ringcom,70,27,93.28571428571429,145.0,70,2.125,38.57,碳纳米系统,Ringcom
Asteroid Rights,🌸Protogen🌸,22,9,83.31818181818181,43.0,22,2.125,40.91,小行星权力,🌸微生物热舞🌸
Ecological Survey,Interplanetary Cinematics (breakthrough),62,29,91.88709677419355,128.0,62,2.125,46.77,生态调查,Interplanetary Cinematics (breakthrough)
Asteroid Rights,Viron (breakthrough),54,20,89.0925925925926,111.0,54,2.125,37.04,小行星权力,Viron (breakthrough)
Technology Demonstration,MorningStar Inc (breakthrough),62,26,100.06451612903226,128.0,62,2.125,41.94,科学论证,MorningStar Inc (breakthrough)
Wetlands,🌸Green Leaf Dance🌸,14,6,82.0,26.0,14,2.125,42.86,湿地,🌸绿叶舞动🌸
Frontier Town,🌸MirrorCoat🌸,22,10,94.31818181818181,43.0,22,2.125,45.45,边疆小镇,🌸镜反🌸
Methane From Titan,🌸Scolex Industries🌸,38,10,91.5,77.0,38,2.125,26.32,来自泰坦的甲烷,🌸星核工业🌸
Venus Magnetizer,Interplanetary Cinematics (breakthrough),30,12,94.8,60.0,30,2.125,40.0,金星磁化器,Interplanetary Cinematics (breakthrough)
Mercurian Alloys,Midas,38,18,86.13157894736842,77.0,38,2.125,47.37,水星合金,Midas
Hospitals,Mining guild (breakthrough),14,5,84.07142857142857,26.0,14,2.125,35.71,医院,Mining guild (breakthrough)
Geological Expedition,Luna Chain,22,9,100.5909090909091,43.0,22,2.125,40.91,地质探险,连月
Energy Supply,Ecoline (breakthrough),14,4,86.71428571428571,26.0,14,2.125,28.57,电力补给,Ecoline (breakthrough)
Molecular Printing,Hecate Speditions,30,13,97.1,60.0,30,2.125,43.33,分子打印,赫卡忒探险队
Ocean Farm,United Nations Mission One,14,6,91.57142857142857,26.0,14,2.125,42.86,海洋农场,United Nations Mission One
Asteroid Mining Consortium,United Nations Mission One,14,8,96.0,26.0,14,2.125,57.14,行星采矿财团,United Nations Mission One
Media Archives,Eglogue,14,6,82.57142857142857,26.0,14,2.125,42.86,多媒体档案库,Eglogue
Last Resort Ingenuity,Interplanetary Cinematics (breakthrough),54,25,90.92592592592592,111.0,54,2.125,46.3,即兴才能,Interplanetary Cinematics (breakthrough)
Investment Loan,Ringcom,70,25,90.37142857142857,145.0,70,2.125,35.71,投资性贷款,Ringcom
Supermarkets,雩喵科学探测器,30,13,95.53333333333333,60.0,30,2.125,43.33,超市,雩喵科学探测器
Media Group,Void,14,8,88.21428571428571,26.0,14,2.125,57.14,媒体团队,Void
Terraforming Ganymede,Valley Trust (breakthrough),70,30,97.85714285714286,145.0,70,2.125,42.86,改造木卫三,Valley Trust (breakthrough)
Moon Tether,Ambient,22,8,84.45454545454545,43.0,22,2.125,36.36,地月连结,
Nuclear Power,🌸RDA🌸,14,7,86.5,26.0,14,2.125,50.0,核能,🌸RDA🌸
Solar Probe,🌸MirrorCoat🌸,30,13,88.73333333333333,60.0,30,2.125,43.33,太阳探测器,🌸镜反🌸
EM Drive,Manutech,14,6,100.5,26.0,14,2.125,42.86,无工质推进飞船,Manutech
Colonial Envoys,Interplanetary Cinematics (breakthrough),54,24,86.61111111111111,111.0,54,2.125,44.44,殖民特使,Interplanetary Cinematics (breakthrough)
Miranda Resort,UNMI (breakthrough),14,7,85.5,26.0,14,2.125,50.0,米兰达度假村,UNMI (breakthrough)
Deimos Down:ares,🌸Protogen🌸,22,7,81.81818181818181,43.0,22,2.125,31.82,Deimos Down:ares,🌸微生物热舞🌸
Artificial Photosynthesis,🌸MirrorCoat🌸,14,6,90.07142857142857,26.0,14,2.125,42.86,人造光合作用,🌸镜反🌸
Starcore Mining,🌸Energy Saving Ecology🌸,30,13,85.63333333333334,60.0,30,2.125,43.33,星核开采,🌸节能生态🌸
City Park,🌸Weyland Yutani🌸,22,11,104.13636363636364,43.0,22,2.125,50.0,City Park,🌸韦兰德-尤坦尼集团🌸
Starcore Mining,Interplanetary Cinematics (breakthrough),78,32,88.66666666666667,162.0,78,2.125,41.03,星核开采,Interplanetary Cinematics (breakthrough)
Local Shading,Splice (breakthrough),46,21,88.34782608695652,94.0,46,2.125,45.65,局部遮蔽,Splice (breakthrough)
Local Heat Trapping,Imperial Star Destroyer,14,6,107.78571428571429,26.0,14,2.125,42.86,本地的热量陷阱,帝国歼星舰
Cyanobacteria,雩喵科学探测器,54,22,91.20370370370371,111.0,54,2.125,40.74,蓝藻菌,雩喵科学探测器
Stanford Torus,🌸Thermopoli🌸,14,7,85.42857142857143,26.0,14,2.125,50.0,斯坦福环面,🌸精灵热舞🌸
GHG Producing Bacteria,🌸Energy Saving Ecology🌸,22,11,78.13636363636364,43.0,22,2.125,50.0,温室气体生产细菌,🌸节能生态🌸
Power Infrastructure,🌸Integrated Microorganisms🌸,22,9,104.54545454545455,43.0,22,2.125,40.91,电力基础设置,🌸微生物星尘🌸
Industrial Microbes,Midas,22,11,80.13636363636364,43.0,22,2.125,50.0,工业微生物,Midas
Callisto Penal Mines,🌸Ark Nova🌸,30,10,99.13333333333334,60.0,30,2.125,33.33,木卫四开采法,🌸方舟动物园🌸
Venusian Insects,Vitor,102,42,93.07843137254902,213.0,102,2.125,41.18,金星昆虫,Vitor
Tundra Farming,Ringcom,22,8,96.4090909090909,43.0,22,2.125,36.36,冻原农耕,Ringcom
Power Supply Consortium,🌸EliteTech🌸,14,6,103.57142857142857,26.0,14,2.125,42.86,电力供应共同体,🌸精英回馈🌸
Clone Technology,United Nations Mission One,14,6,98.57142857142857,26.0,14,2.125,42.86,克隆科技,United Nations Mission One
Geothermal Power,Incite Ender,14,7,91.57142857142857,26.0,14,2.125,50.0,地热能,Incite Ender
Towing A Comet,UNMI (breakthrough),22,9,89.95454545454545,43.0,22,2.125,40.91,牵引彗星,UNMI (breakthrough)
Trees,Ringcom,30,12,95.16666666666667,60.0,30,2.125,40.0,树,Ringcom
Asteroid,Eglogue,14,5,76.5,26.0,14,2.125,35.71,小行星,Eglogue
Local Heat Trapping,Manutech,22,11,100.77272727272727,43.0,22,2.125,50.0,本地的热量陷阱,Manutech
Sister Planet Sponsors,Id Front,14,8,108.71428571428571,26.0,14,2.125,57.14,姊妹星球赞助,前线基地
Event Analysts,Interplanetary Cinematics (breakthrough),46,17,87.21739130434783,94.0,46,2.125,36.96,事件分析,Interplanetary Cinematics (breakthrough)
Insects,Interplanetary Cinematics (breakthrough),38,14,92.92105263157895,77.0,38,2.125,36.84,昆虫,Interplanetary Cinematics (breakthrough)
Event Analysts,Spire,30,13,91.13333333333334,60.0,30,2.125,43.33,事件分析,Spire
Decomposers,Sagitta Frontier Services,30,12,93.66666666666667,60.0,30,2.125,40.0,分解者,Sagitta Frontier Services
Heavy Taxation,🌸Integrated Microorganisms🌸,54,20,87.74074074074075,111.0,54,2.125,37.04,重税,🌸微生物星尘🌸
Comet,🌸Thermopoli🌸,14,8,76.64285714285714,26.0,14,2.125,57.14,彗星,🌸精灵热舞🌸
Martian Nature Wonders,Splice (breakthrough),46,20,87.67391304347827,94.0,46,2.125,43.48,火星自然遗产,Splice (breakthrough)
AntiGravity Experiment,Ringcom,46,18,93.08695652173913,94.0,46,2.125,39.13,反重力先行试验,Ringcom
GHG Import From Venus,Point Luna,22,12,108.27272727272727,43.0,22,2.125,54.55,从金星导入温室气体,Point Luna
Martian Nature Wonders,Aristarchus,14,7,99.78571428571429,26.0,14,2.125,50.0,火星自然遗产,Aristarchus
Martian Lumber Corp,🌸StarlinkDrifter🌸,22,12,114.0,43.0,22,2.125,54.55,火星木材公司,🌸星链漂流者🌸
Peroxide Power,United Nations Mission One,14,5,87.14285714285714,26.0,14,2.125,35.71,过氧化氢能源,United Nations Mission One
Black Polar Dust,🌸Green Leaf Dance🌸,14,5,82.28571428571429,26.0,14,2.125,35.71,黑色的极地尘埃,🌸绿叶舞动🌸
Immigrant City,Celestic (breakthrough),54,24,99.48148148148148,111.0,54,2.125,44.44,移民城市,Celestic (breakthrough)
Expedition to the Surface - Venus,Arcadian Communities (breakthrough),22,9,92.04545454545455,43.0,22,2.125,40.91,金星表面探险,Arcadian Communities (breakthrough)
Space Debris Cleaning Operation,MorningStar Inc (breakthrough),46,18,91.08695652173913,94.0,46,2.125,39.13,太空垃圾清理,MorningStar Inc (breakthrough)
Worms,Teractor (breakthrough),30,14,99.4,60.0,30,2.125,46.67,蠕虫,Teractor (breakthrough)
Ice Asteroid,Void,14,7,78.57142857142857,26.0,14,2.125,50.0,结冰行星,Void
Mass Converter,Midas,30,14,96.6,60.0,30,2.125,46.67,质能转换器,Midas
Prefabrication of Human Habitats,🌸StarlinkDrifter🌸,14,6,131.07142857142858,26.0,14,2.125,42.86,房屋预制,🌸星链漂流者🌸
Labor Trafficking,Eglogue,14,6,80.92857142857143,26.0,14,2.125,42.86,劳动力贩卖,Eglogue
Quantum Extractor,Pobolog (breakthrough),54,20,87.16666666666667,111.0,54,2.125,37.04,量子提取,Pobolog (breakthrough)
Luxury Estate,🌸MirrorCoat🌸,22,9,94.81818181818181,43.0,22,2.125,40.91,豪华别墅,🌸镜反🌸
Interplanetary Colony Ship,Imperial Star Destroyer,14,6,100.21428571428571,26.0,14,2.125,42.86,星际殖民船,帝国歼星舰
Robot Pollinators,United Nations Mission One,14,7,97.5,26.0,14,2.125,50.0,机器授粉者,United Nations Mission One
Jovian Defense Department,Arcadian Communities (breakthrough),14,6,89.85714285714286,26.0,14,2.125,42.86,木星防空署,Arcadian Communities (breakthrough)
CEO's Favorite Project,Splice (breakthrough),46,20,89.34782608695652,94.0,46,2.125,43.48,CEO最喜欢的项目,Splice (breakthrough)
Aerosport Tournament,🌸Integrated Microorganisms🌸,14,7,93.21428571428571,26.0,14,2.125,50.0,航空运动锦标赛,🌸微生物星尘🌸
Solar Farm,🌸Buy N Large🌸,14,6,72.0,26.0,14,2.125,42.86,太阳能农场,🌸大巨购🌸
Red Tourism Wave,🌸Scolex Industries🌸,30,12,93.2,60.0,30,2.125,40.0,红色旅游风潮,🌸星核工业🌸
Space Port Colony,Millennium Falcon,14,7,93.5,26.0,14,2.125,50.0,太空港殖民地,千年隼
Bio-Fertilizer Facility,Celestic (breakthrough),70,26,91.67142857142858,145.0,70,2.125,37.14,肥料工厂,Celestic (breakthrough)
Convoy From Europa,🌸MirrorCoat🌸,30,13,90.73333333333333,60.0,30,2.125,43.33,木卫二护航队,🌸镜反🌸
Venusian Animals,Id Front,14,6,111.5,26.0,14,2.125,42.86,金星动物,前线基地
Soil Enrichment,🌸Thermopoli🌸,14,7,81.21428571428571,26.0,14,2.125,50.0,土壤改良,🌸精灵热舞🌸
Small Animals,🌸Protogen🌸,14,6,82.92857142857143,26.0,14,2.125,42.86,小动物,🌸微生物热舞🌸
Jovian Lanterns,Manutech,14,8,109.5,26.0,14,2.125,57.14,木星灯,Manutech
City Parks,Celestic (breakthrough),14,6,102.64285714285714,26.0,14,2.125,42.86,城市公园,Celestic (breakthrough)
Air Raid,Pobolog (breakthrough),38,15,86.10526315789474,77.0,38,2.125,39.47,空袭,Pobolog (breakthrough)
Mangrove,Sagitta Frontier Services,22,10,94.9090909090909,43.0,22,2.125,45.45,红树林,Sagitta Frontier Services
Crash Site Cleanup,🌸Energy Saving Ecology🌸,22,10,78.81818181818181,43.0,22,2.125,45.45,陨石坑清洁,🌸节能生态🌸
L1 Trade Terminal,Ambient,14,6,100.21428571428571,26.0,14,2.125,42.86,L1 贸易终端,
Venusian Plants,🌸EliteTech🌸,30,14,99.2,60.0,30,2.125,46.67,金星植物,🌸精英回馈🌸
Designed Organisms,🌸Energy Saving Ecology🌸,22,11,95.54545454545455,43.0,22,2.125,50.0,生物体设计,🌸节能生态🌸
Specialized Settlement,MorningStar Inc (breakthrough),38,14,102.60526315789474,77.0,38,2.125,36.84,专业定居点,MorningStar Inc (breakthrough)
Space Monster Park,Aphrodite (breakthrough),14,6,91.42857142857143,26.0,14,2.125,42.86,太空怪兽乐园,Aphrodite (breakthrough)
Designed Organisms,Spire,46,18,92.1304347826087,94.0,46,2.125,39.13,生物体设计,Spire
奇物丰收,🌸Ark Nova🌸,14,5,83.85714285714286,26.0,14,2.125,35.71,奇物丰收,🌸方舟动物园🌸
GMO Contract,Septem Tribus,14,6,83.5,26.0,14,2.125,42.86,转基因生物合约,Septem Tribus
Magnetic Shield,Midas,14,6,90.21428571428571,26.0,14,2.125,42.86,磁屏,Midas
Earth Office,Valley Trust (breakthrough),101,39,91.92079207920793,211.0,101,2.126126126126126,38.61,地球办公室,Valley Trust (breakthrough)
