user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
11e3740ec2de,8,1,73,29.0,73.0,29.0,a00sd52
11e3740ec2de,10,2,232,111.0,168.5,90.5,a00sd52
120e418f41ed,12,1,111,41.0,111.0,41.0,我太帅了
120e418f41ed,13,1,104,52.0,104.0,52.0,我太帅了
126fe8f130cc,11,1,124,77.0,124.0,77.0,aaass1232
126fe8f130cc,12,2,179,79.0,159.5,57.5,aaass1232
126fe8f130cc,13,3,295,137.0,260.0,112.67,aaass1232
126fe8f130cc,14,2,314,144.0,256.0,122.0,aaass1232
13f9446ad048,6,2,98,38.0,88.5,32.0,6mmmm
13f9446ad048,7,3,107,51.0,90.67,36.0,6mmmm
13f9446ad048,8,8,154,65.0,125.75,51.75,6mmmm
13f9446ad048,9,19,240,120.0,141.37,58.32,6mmmm
13f9446ad048,10,6,197,71.0,166.83,61.5,6mmmm
13f9446ad048,11,2,189,70.0,171.5,64.0,6mmmm
147b5481b058,10,3,144,70.0,131.33,56.33,罗成
147b5481b058,12,3,226,102.0,187.0,82.33,罗成
147b5481b058,13,2,441,227.0,313.5,155.5,罗成
14e754e53d46,8,2,105,45.0,96.5,41.5,南宫澪
14e754e53d46,9,1,129,98.0,129.0,98.0,南宫澪
14e754e53d46,10,1,125,64.0,125.0,64.0,南宫澪
14e754e53d46,11,2,386,195.0,381.5,173.5,南宫澪
14e754e53d46,13,1,293,152.0,293.0,152.0,南宫澪
1635a02b921f,6,2,123,65.0,114.0,62.0,sailij
1635a02b921f,7,3,191,97.0,128.0,68.33,sailij
1635a02b921f,8,5,131,82.0,112.2,53.2,sailij
1635a02b921f,9,3,175,85.0,158.33,83.33,sailij
16e190eed657,9,1,191,101.0,191.0,101.0,xb
16e190eed657,10,1,123,67.0,123.0,67.0,xb
1956b6b551a9,12,1,282,170.0,282.0,170.0,ihz
1956b6b551a9,13,1,224,104.0,224.0,104.0,ihz
1c86df029d8e,12,1,180,98.0,180.0,98.0,藏锋
1c86df029d8e,14,1,187,68.0,187.0,68.0,藏锋
1e6dac6d16e2,8,1,117,61.0,117.0,61.0,yuan
1e6dac6d16e2,9,1,98,49.0,98.0,49.0,yuan
1e6dac6d16e2,10,2,158,99.0,146.0,95.5,yuan
1eaa851a54e7,13,2,210,101.0,175.0,95.0,adonkey
212cd34a6345,10,1,129,50.0,129.0,50.0,17826818782
212cd34a6345,11,1,129,67.0,129.0,67.0,17826818782
212cd34a6345,12,1,130,76.0,130.0,76.0,17826818782
2450c74ea170,7,5,94,32.0,81.2,22.6,晓黑
2450c74ea170,8,11,117,64.0,94.55,34.45,晓黑
2450c74ea170,9,12,252,131.0,135.0,57.17,晓黑
2450c74ea170,10,5,173,103.0,156.0,79.0,晓黑
2643ed5ba2fe,10,1,114,57.0,114.0,57.0,真香
2643ed5ba2fe,11,2,292,153.0,214.5,117.5,真香
2643ed5ba2fe,12,1,172,103.0,172.0,103.0,真香
2643ed5ba2fe,13,1,164,89.0,164.0,89.0,真香
288899b4d4ea,6,2,88,15.0,65.0,13.0,newanderer
288899b4d4ea,7,1,84,15.0,84.0,15.0,newanderer
288899b4d4ea,8,1,92,26.0,92.0,26.0,newanderer
288899b4d4ea,9,2,136,43.0,126.5,35.0,newanderer
288899b4d4ea,10,3,167,54.0,145.67,39.0,newanderer
29d10f51c8c4,9,1,142,66.0,142.0,66.0,zixni
29d10f51c8c4,10,1,139,56.0,139.0,56.0,zixni
2d6fc80f3e8b,7,1,114,25.0,114.0,25.0,彩虹
2d6fc80f3e8b,8,2,151,70.0,126.0,48.5,彩虹
2d6fc80f3e8b,9,6,206,121.0,145.83,75.83,彩虹
2d6fc80f3e8b,10,2,188,87.0,149.0,52.5,彩虹
2d6fc80f3e8b,11,2,228,100.0,223.0,87.5,彩虹
2d8d33416cd1,7,1,80,29.0,80.0,29.0,铃铛
2d8d33416cd1,8,1,92,36.0,92.0,36.0,铃铛
30cfc08828b9,6,1,118,25.0,118.0,25.0,萌梵
30cfc08828b9,9,1,147,58.0,147.0,58.0,萌梵
322ed467ae60,11,2,199,120.0,173.5,113.5,wanghaozhe
322ed467ae60,12,1,189,120.0,189.0,120.0,wanghaozhe
32bfb3f9a500,7,1,113,54.0,113.0,54.0,rjw
32bfb3f9a500,8,4,202,113.0,117.25,61.75,rjw
32bfb3f9a500,9,5,164,72.0,129.2,64.2,rjw
32bfb3f9a500,10,3,230,116.0,178.67,94.67,rjw
32bfb3f9a500,11,5,266,124.0,233.6,111.2,rjw
349aa1ceb85d,9,1,121,79.0,121.0,79.0,socrates
349aa1ceb85d,10,1,167,91.0,167.0,91.0,socrates
34fb260b5198,8,1,88,42.0,88.0,42.0,制裁苏总的黄sir
34fb260b5198,9,3,123,56.0,112.67,51.67,制裁苏总的黄sir
34fb260b5198,10,5,161,74.0,129.8,54.4,制裁苏总的黄sir
34fb260b5198,11,13,185,96.0,141.54,64.85,制裁苏总的黄sir
34fb260b5198,12,5,213,122.0,166.4,90.0,制裁苏总的黄sir
383cca45f613,9,5,120,69.0,83.4,52.6,思锐
383cca45f613,10,6,196,109.0,162.0,78.5,思锐
383cca45f613,11,7,258,125.0,169.43,88.57,思锐
383cca45f613,12,1,293,150.0,293.0,150.0,思锐
390c9a894acd,5,1,86,20.0,86.0,20.0,双子
390c9a894acd,7,2,107,32.0,100.5,30.5,双子
390c9a894acd,8,4,185,90.0,128.0,58.0,双子
390c9a894acd,9,6,151,86.0,132.0,60.17,双子
390c9a894acd,10,14,246,104.0,153.93,61.64,双子
