card_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Maxwell Base,462,1.3597560975609757,896,2.1555075593952484,麦克斯韦基地,麦克斯韦基地
Respiration Enhance,384,1.3599033816425121,993,2.2873900293255134,呼吸作用增强,呼吸作用增强
Venus Magnetizer,306,1.3601190476190477,614,2.2127329192546585,金星磁化器,金星磁化器
Security Fleet,217,1.360323886639676,242,2.4411764705882355,安保舰队,安保舰队
L1 Trade Terminal,586,1.3603896103896105,976,2.275347912524851,L1 贸易终端,L1 贸易终端
Nitrogen-Rich Asteroid,443,1.3615221987315012,664,2.170028818443804,富氮小行星,富氮小行星
Public Baths,357,1.3617571059431524,890,2.4043478260869566,公共浴场,公共浴场
Luxury Estate,348,1.3624338624338623,1005,2.1826086956521737,豪华别墅,豪华别墅
Zeppelins,254,1.3626760563380282,353,2.31331592689295,齐柏林飞艇,齐柏林飞艇
Venus Soils,339,1.3631436314363143,409,2.150341685649203,金星土壤,金星土壤
Takonda Castle (VII),193,1.3632286995515694,862,2.218609865470852,Takonda Castle (VII),Takonda Castle (VII)
Plant Smuggling,482,1.36328125,1132,2.2452667814113596,植物走私集团,植物走私集团
Titan Shuttles,526,1.3633093525179856,1233,2.447347585114806,泰坦穿梭机,泰坦穿梭机
Magnetic Field Dome,270,1.3633333333333333,511,2.3160813308687613,磁力区域圆顶,磁力区域圆顶
Nitrogen from Titan,484,1.3638132295719845,997,2.3427458617332033,土卫六氮气,土卫六氮气
Think Tank,253,1.3639575971731448,490,2.3442307692307693,智库,智库
Venus Trade Hub,677,1.3649222065063649,1386,2.260593220338983,金星贸易中心,金星贸易中心
Harvest,548,1.3650519031141868,1311,2.162565249813572,丰收,丰收
Interplanetary Transport,337,1.3651226158038148,1067,2.283500455788514,星际运输,星际运输
Market Manipulation,375,1.365432098765432,951,2.324159021406728,操控市场,操控市场
Commercial District:ares,353,1.3655352480417755,897,2.349514563106796,Commercial District:ares,Commercial District:ares
Hi-Tech Lab,525,1.3657657657657658,932,2.424116424116424,高科技实验室,高科技实验室
Ocean Sanctuary,440,1.3659574468085107,1464,2.1666666666666665,海豚,海豚
Data Leak,205,1.3659574468085107,445,2.2757894736842106,数据泄露,数据泄露
Io Mining Industries,623,1.3660030627871362,1032,2.3465160075329567,木卫一矿业,木卫一矿业
Robot Pollinators,445,1.3663157894736842,739,2.092327698309493,机器授粉者,机器授粉者
Energy Station,382,1.366504854368932,1159,2.3448275862068964,能源站,能源站
Molecular Printing,551,1.3666092943201378,1655,2.2350148367952523,分子打印,分子打印
Water Splitting Plant,120,1.3666666666666667,101,2.4198473282442747,海水分解装置,海水分解装置
Martian Monuments,169,1.3668341708542713,222,2.257936507936508,火星纪念碑,火星纪念碑
Vermin,139,1.3668639053254439,182,2.259433962264151,害兽,害兽
Refugee Camps,275,1.3672131147540985,638,2.317365269461078,难民营,难民营
Hyperspace Drive Prototype,185,1.3674418604651162,1098,2.4361702127659575,超空间驱动原型,超空间驱动原型
Lunar Embassy,370,1.3675,1004,2.2127659574468086,月球大使馆,月球大使馆
Worms,457,1.3675564681724846,717,2.1633199464524764,蠕虫,蠕虫
Carbonate Processing,193,1.3677130044843049,305,2.319402985074627,碳酸盐处理,碳酸盐处理
Cloud City (V),239,1.3680297397769516,1164,2.2613065326633164,Cloud City (V),Cloud City (V)
Carbon Nanosystems,709,1.368064952638701,1732,2.3359818388195235,碳纳米系统,碳纳米系统
Advanced Ecosystems,554,1.3681506849315068,1321,2.2190969652109547,先进的生态系统,先进的生态系统
Solarnet,654,1.368421052631579,1372,2.327389443651926,太阳系网络,太阳系网络
Space Port Colony,594,1.3685897435897436,1287,2.301442672741078,太空港殖民地,太空港殖民地
Pride of the Earth Arkship,214,1.3688524590163935,539,2.2776801405975395,地球方舟的骄傲,地球方舟的骄傲
Fusion Power,523,1.3688969258589512,732,2.4488188976377954,聚变能源,聚变能源
Fleet Recycling,241,1.3690036900369005,1036,2.2879924953095685,飞船回收,飞船回收
Freyja Biodomes,455,1.3690721649484536,947,2.143295803480041,弗雷雅生态馆,弗雷雅生态馆
Pets,555,1.3692307692307693,1487,2.301911667765326,宠物,宠物
Ganymede Colony,633,1.3695324283559578,1431,2.2197125256673513,木卫三殖民地,木卫三殖民地
Symbiotic Fungus,489,1.369942196531792,880,2.241758241758242,共生真菌,共生真菌
City Parks,286,1.370253164556962,423,2.0397350993377485,城市公园,城市公园
Luna Metropolis,656,1.370262390670554,1266,2.376543209876543,月神都会,月神都会
Noctis City,475,1.3702970297029704,1023,2.314339981006648,诺提斯城,诺提斯城
Venus Allies,531,1.3707664884135473,1195,2.1942857142857144,金星盟友,金星盟友
Productive Outpost,531,1.3707664884135473,1193,2.327882256745707,生产前哨站,生产前哨站
Agro-Drones,121,1.3708609271523178,137,2.3832335329341316,农业无人机,农业无人机
Meat Industry,646,1.371301775147929,1479,2.2226640159045727,肉类工业,肉类工业
Minority Refuge,581,1.3715220949263502,1569,2.352720450281426,少数民族难民,少数民族难民
Spin-off Department,594,1.3717948717948718,1456,2.3398384925975773,副产品部门,副产品部门
Nobel Labs,419,1.3719376391982183,1094,2.377224199288256,诺贝尔劳动奖,诺贝尔劳动奖
New Venice,389,1.3723150357995226,1182,2.325907590759076,新威尼斯,新威尼斯
Breathing Filters,499,1.3724007561436673,1155,2.3645569620253166,呼吸过滤器,呼吸过滤器
Galilean Waystation,394,1.3726415094339623,1005,2.463768115942029,伽利略中转站,伽利略中转站
Imported Nitrogen,622,1.3726993865030674,1374,2.1481481481481484,引入氮气,引入氮气
Deimos Down:promo,120,1.3733333333333333,117,2.3469387755102042,Deimos Down:promo,Deimos Down:promo
Media Archives,610,1.3734375,1623,2.2849364791288567,多媒体档案库,多媒体档案库
Imported Nutrients,607,1.3736263736263736,1469,2.2141427618412273,营养物输入,营养物输入
Battery Factory,168,1.3737373737373737,635,2.3714285714285714,电池工厂,电池工厂
Nitrophilic Moss,366,1.3737373737373737,554,2.238013698630137,嗜中性苔藓,嗜中性苔藓
Microgravity Nutrition,355,1.374025974025974,653,2.2518301610541727,微重力营养学,微重力营养学
Plantation,459,1.3742331288343559,1438,2.318801089918256,种植园,种植园
Small Comet,189,1.3744292237442923,690,2.438888888888889,小彗星,小彗星
Restricted Area,197,1.3744493392070485,142,2.2267441860465116,管制区,管制区
Predators,293,1.3746130030959753,530,2.344642857142857,捕食者,捕食者
Titan Floating Launch-pad,418,1.375,1035,2.3258215962441313,泰坦漂浮物起飞平台,泰坦漂浮物起飞平台
Rare-Earth Elements,258,1.375,762,2.301767676767677,稀土元素,稀土元素
Ansible,511,1.3752310536044363,1186,2.4177631578947367,安塞波,安塞波
Solarpedia,215,1.3755102040816327,241,2.2952029520295203,太阳系百科全书,太阳系百科全书
Ice Asteroid,404,1.3755760368663594,935,2.3181347150259066,结冰行星,结冰行星
WG Project,167,1.3756345177664975,1022,2.2509505703422055,WG 项目,WG 项目
Kickstarter,276,1.3758169934640523,985,2.316256157635468,KS众筹,KS众筹
Neutralizer Factory,494,1.3759541984732824,1299,2.288186606471031,中和剂工厂,中和剂工厂
Special Design,297,1.3761467889908257,530,2.1875,特别构思,特别构思
Crash Site Cleanup,281,1.3762057877813505,950,2.2224489795918365,陨石坑清洁,陨石坑清洁
Stratospheric Expedition,690,1.3763888888888889,1811,2.300380228136882,平流层远征,平流层远征
Sub-zero Salt Fish,326,1.3764044943820224,548,2.2145328719723185,零下咸鱼,零下咸鱼
Nuclear Zone:ares,318,1.3764367816091954,1141,2.3859948761742102,Nuclear Zone:ares,Nuclear Zone:ares
Great Dam:promo,132,1.376543209876543,106,2.426470588235294,Great Dam:promo,Great Dam:promo
Atmoscoop,607,1.3767660910518054,1420,2.1958620689655173,大气束缚场,大气束缚场
Permafrost Extraction,238,1.376865671641791,449,2.2651356993736953,冻土精炼,冻土精炼
Cow,495,1.3771428571428572,1368,2.32689556509299,奶牛,奶牛
Expedition Vehicles,190,1.3772727272727272,802,2.313701923076923,远征车,远征车
奇物丰收,190,1.3772727272727272,279,2.116504854368932,奇物丰收,奇物丰收
Directed Heat Usage,497,1.3776091081593929,1183,2.2951360263808738,热能定向利用,热能定向利用
Venus Shuttles,473,1.3777335984095427,919,2.2233930453108535,金星穿梭机,金星穿梭机
Asteroid Mining Consortium,518,1.3777372262773722,845,2.4445714285714284,行星采矿财团,行星采矿财团
Soil Studies,359,1.3778920308483291,1014,2.1848659003831417,土壤研究,土壤研究
Fall of Sunrise,470,1.378,1408,2.3066759388038944,拂晓陨落,拂晓陨落
Power Plant:Pathfinders,237,1.3782771535580525,590,2.3854838709677417,Power Plant:Pathfinders,Power Plant:Pathfinders
