corporation,players,total_games,wins,avg_position,avg_score,avg_generations,win_rate,cn_name,cn_name_plot
🌸Protogen🌸,4,322,86,2.313664596273292,76.2639751552795,5.549689440993789,26.71,🌸微生物热舞🌸,微生物热舞
Astrodrill,4,45,12,2.6222222222222222,46.48888888888889,8.0,26.67,天体钻井,天体钻井
🌸Scolex Industries🌸,4,659,175,2.4385432473444615,78.34597875569044,5.896813353566009,26.56,🌸星核工业🌸,星核工业
EcoTec,4,356,94,2.342696629213483,74.92696629213484,5.893258426966292,26.4,EcoTec,EcoTec
Polyphemos (breakthrough),4,23,6,2.5217391304347827,79.21739130434783,7.130434782608695,26.09,Polyphemos (breakthrough),Polyphemos (breakthrough)
Incite Ender,4,290,75,2.496551724137931,76.8344827586207,5.7,25.86,Incite Ender,Incite Ender
Polaris,4,426,110,2.4014084507042255,71.43427230046949,5.284037558685446,25.82,北极星,北极星
Luna Chain,4,288,74,2.5694444444444446,80.82638888888889,5.888888888888889,25.69,连月,连月
Point Luna,4,962,246,2.6091476091476093,78.32536382536382,6.168399168399168,25.57,Point Luna,Point Luna
Soylent Seedling Systems,4,184,47,2.3043478260869565,48.755434782608695,2.5489130434782608,25.54,索伦特幼苗系统,索伦特幼苗系统
Cheung Shing MARS,4,59,15,2.711864406779661,73.44067796610169,7.694915254237288,25.42,Cheung Shing MARS,Cheung Shing MARS
Viron (breakthrough),4,535,135,2.5308411214953273,79.97009345794393,6.02803738317757,25.23,Viron (breakthrough),Viron (breakthrough)
Midas,4,516,130,2.635658914728682,65.04263565891473,4.496124031007752,25.19,Midas,Midas
Agricola Inc,4,8,2,2.375,87.375,6.875,25.0,Agricola Inc,Agricola Inc
Mind Set Mars,4,4,1,2.0,83.0,6.75,25.0,Mind Set Mars,Mind Set Mars
🌸EliteTech🌸,4,685,171,2.5562043795620437,77.25255474452555,5.757664233576643,24.96,🌸精英回馈🌸,精英回馈
Sagitta Frontier Services,4,313,78,2.4792332268370605,77.08945686900958,6.054313099041534,24.92,Sagitta Frontier Services,Sagitta Frontier Services
Steelaris,4,77,19,2.4415584415584415,73.83116883116882,5.766233766233766,24.68,钢之星,钢之星
Prism,4,527,130,2.6584440227703983,82.7438330170778,6.009487666034156,24.67,棱镜光谱研究室,棱镜光谱研究室
🌸Ark Nova🌸,4,589,140,2.5857385398981325,79.3225806451613,5.870967741935484,23.77,🌸方舟动物园🌸,方舟动物园
StormCraft Incorporated (breakthrough),4,421,100,2.477434679334917,80.84560570071258,5.957244655581948,23.75,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
Imperial Star Destroyer,4,114,27,2.4473684210526314,91.00877192982456,6.675438596491228,23.68,帝国歼星舰,帝国歼星舰
Valley Trust (breakthrough),4,959,227,2.5578727841501565,78.99165797705943,5.9395203336809175,23.67,Valley Trust (breakthrough),Valley Trust (breakthrough)
Saturn Systems,4,365,86,2.4904109589041097,81.15342465753425,6.887671232876713,23.56,Saturn Systems,Saturn Systems
Mons Insurance,4,17,4,2.5294117647058822,73.41176470588235,8.764705882352942,23.53,蒙斯保险,蒙斯保险
🌸Green Ring🌸,4,375,88,2.6293333333333333,76.49066666666667,5.9013333333333335,23.47,🌸绿环🌸,绿环
Robinson Industries,4,30,7,2.533333333333333,72.66666666666667,9.1,23.33,Robinson Industries,Robinson Industries
Teractor (breakthrough),4,811,187,2.5499383477188657,79.48581997533908,5.922318125770653,23.06,Teractor (breakthrough),Teractor (breakthrough)
