corporation,total_games,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Tycho Magnetics,273,33,72.8058608058608,809.0,273,2.9469964664310955,12.09,第谷磁力,第谷磁力
Hecate Speditions,265,72,84.59622641509434,639.0,265,2.4145454545454546,27.17,赫卡忒探险队,赫卡忒探险队
Playwrights,262,54,70.5381679389313,723.0,262,2.75,20.61,Playwrights,Playwrights
🌸Buy N Large🌸,243,78,77.53909465020575,546.0,243,2.2569169960474307,32.1,🌸大巨购🌸,大巨购
🌸PoliticalReform🌸,224,48,72.91517857142857,609.0,224,2.7094017094017095,21.43,🌸制度改革🌸,制度改革
Factorum (breakthrough),199,29,69.2964824120603,582.0,199,2.9043062200956937,14.57,Factorum (breakthrough),Factorum (breakthrough)
UNMI (breakthrough),194,59,74.9381443298969,429.0,194,2.2254901960784315,30.41,UNMI (breakthrough),UNMI (breakthrough)
🌸双轨跃迁🌸,192,31,71.09375,547.0,192,2.8316831683168315,16.15,🌸双轨跃迁🌸,双轨跃迁
Helion (breakthrough),192,34,67.53125,501.0,192,2.603960396039604,17.71,Helion (breakthrough),Helion (breakthrough)
Collegium Copernicus,188,29,72.90957446808511,544.0,188,2.8737373737373737,15.43,哥白尼学院,哥白尼学院
Soylent Seedling Systems,184,47,48.755434782608695,424.0,184,2.314432989690722,25.54,索伦特幼苗系统,索伦特幼苗系统
🌸Thermopoli🌸,176,62,74.375,391.0,176,2.236559139784946,35.23,🌸精灵热舞🌸,精灵热舞
Mining guild (breakthrough),167,26,71.38323353293413,458.0,167,2.7288135593220337,15.57,Mining guild (breakthrough),Mining guild (breakthrough)
Aphrodite (breakthrough),165,74,82.94545454545455,313.0,165,1.9314285714285715,44.85,Aphrodite (breakthrough),Aphrodite (breakthrough)
Chaos,162,47,80.89506172839506,389.0,162,2.4069767441860463,29.01,Chaos,Chaos
Tharsis_republic (breakthrough),161,33,77.4472049689441,400.0,161,2.4853801169590644,20.5,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Aurorai,146,43,41.513698630136986,356.0,146,2.4423076923076925,29.45,Aurorai,Aurorai
Labour Union,137,29,38.56204379562044,354.0,137,2.578231292517007,21.17,Labour Union,Labour Union
PolderTECH Dutch,128,41,39.296875,287.0,128,2.260869565217391,32.03,荷兰圩田科技,荷兰圩田科技
Septem Tribus,126,41,79.01587301587301,300.0,126,2.389705882352941,32.54,Septem Tribus,Septem Tribus
Pharmacy Union,123,25,75.28455284552845,315.0,123,2.556390977443609,20.33,制药联盟,制药联盟
Imperial Star Destroyer,114,27,91.00877192982456,279.0,114,2.4516129032258065,23.68,帝国歼星舰,帝国歼星舰
Junk Ventures,112,6,64.52678571428571,369.0,112,3.2295081967213113,5.36,Junk Ventures,Junk Ventures
Aristarchus,97,27,81.22680412371135,249.0,97,2.560747663551402,27.84,Aristarchus,Aristarchus
Trade Navigator,93,18,81.82795698924731,249.0,93,2.6601941747572817,19.35,贸易领航者,贸易领航者
Millennium Falcon,91,21,72.76923076923077,244.0,91,2.6633663366336635,23.08,千年隼,千年隼
Aridor,91,19,77.35164835164835,250.0,91,2.722772277227723,20.88,Aridor,Aridor
Runciter Associates,86,10,71.68604651162791,252.0,86,2.8854166666666665,11.63,朗西斯联合公司,朗西斯联合公司
Recyclon (breakthrough),83,9,68.75903614457832,235.0,83,2.795698924731183,10.84,Recyclon (breakthrough),Recyclon (breakthrough)
Id Front,77,27,93.87012987012987,177.0,77,2.32183908045977,35.06,前线基地,前线基地
Steelaris,76,18,73.73684210526316,187.0,76,2.4651162790697674,23.68,钢之星,钢之星
Thorgate (breakthrough),69,11,78.0,191.0,69,2.7341772151898733,15.94,Thorgate (breakthrough),Thorgate (breakthrough)
Mars Maths,67,7,70.53731343283582,210.0,67,3.051948051948052,10.45,Mars Maths,Mars Maths
Philares,66,19,74.45454545454545,157.0,66,2.3947368421052633,28.79,,
Bio-Sol,64,14,74.890625,167.0,64,2.5945945945945947,21.88,,
Curiosity II,56,10,72.41071428571429,167.0,56,2.909090909090909,17.86,Curiosity II,Curiosity II
Earth Cat Cult,55,19,76.54545454545455,127.0,55,2.3384615384615386,34.55,Earth Cat Cult,Earth Cat Cult
Pristar (breakthrough),52,7,78.26923076923077,155.0,52,2.903225806451613,13.46,Pristar (breakthrough),Pristar (breakthrough)
Utopia Invest,50,5,73.78,143.0,50,2.8,10.0,乌托邦投资计划,乌托邦投资计划
Palladin Shipping,47,7,69.70212765957447,136.0,47,2.824561403508772,14.89,Palladin Shipping,Palladin Shipping
Robinson Industries (breakthrough),43,7,70.97674418604652,119.0,43,2.7169811320754715,16.28,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
Brotherhood of Mutants,43,21,91.0,82.0,43,2.018867924528302,48.84,变种人兄弟会,变种人兄弟会
Project Workshop,38,4,73.13157894736842,114.0,38,2.8958333333333335,10.53,Project Workshop,Project Workshop
Cheung Shing MARS,36,3,71.72222222222223,115.0,36,3.0434782608695654,8.33,Cheung Shing MARS,Cheung Shing MARS
Chimera,32,5,74.1875,94.0,32,2.8333333333333335,15.62,奇美拉,奇美拉
Robin Haulings,31,6,74.74193548387096,87.0,31,2.731707317073171,19.35,罗宾运输,罗宾运输
Astrodrill,27,6,25.59259259259259,73.0,27,2.6486486486486487,22.22,天体钻井,天体钻井
Gagarin Mobile Base,27,3,74.0,77.0,27,2.7567567567567566,11.11,Gagarin Mobile Base,Gagarin Mobile Base
Polyphemos (breakthrough),23,6,79.21739130434783,58.0,23,2.515151515151515,26.09,Polyphemos (breakthrough),Polyphemos (breakthrough)
TeiAi Group,22,4,73.18181818181819,68.0,22,2.90625,18.18,帝爱赌场,帝爱赌场
Martian Insurance Group,22,3,69.77272727272727,57.0,22,2.5625,13.64,火星保险集团,火星保险集团
Kuiper Cooperative,18,3,75.94444444444444,49.0,18,2.642857142857143,16.67,Kuiper Cooperative,Kuiper Cooperative
SolBank,15,2,76.0,46.0,15,2.84,13.33,SolBank,SolBank
Athena,14,2,87.5,38.0,14,2.625,14.29,Athena,Athena
Nirgal Enterprises,13,0,78.0,38.0,13,2.739130434782609,0.0,Nirgal Enterprises,Nirgal Enterprises
Adhai High Orbit Constructions,11,2,84.81818181818181,30.0,11,2.619047619047619,18.18,阿迪海高轨道建设,阿迪海高轨道建设
Odyssey,11,1,15.272727272727273,39.0,11,3.0476190476190474,9.09,奥德赛,奥德赛
Mons Insurance,9,1,69.88888888888889,27.0,9,2.736842105263158,11.11,蒙斯保险,蒙斯保险
Mars Direct,8,1,78.125,24.0,8,2.7222222222222223,12.5,火星直通车,火星直通车
Agricola Inc,8,2,87.375,19.0,8,2.4444444444444446,25.0,Agricola Inc,Agricola Inc
Habitat Marte,7,2,78.0,18.0,7,2.5294117647058822,28.57,火星栖息地,火星栖息地
Henkei Genetics,7,1,70.0,20.0,7,2.6470588235294117,14.29,变形遗传学,变形遗传学
Incite,7,2,76.14285714285714,18.0,7,2.5294117647058822,28.57,Incite,Incite
Colonial One,7,1,70.42857142857143,21.0,7,2.7058823529411766,14.29,Colonial One,Colonial One
Eris,7,2,76.28571428571429,14.0,7,2.2941176470588234,28.57,Eris,Eris
Crescent Research Association,6,0,95.0,17.0,6,2.625,0.0,月牙研究联盟,月牙研究联盟
Luna First Incorporated,5,0,80.2,13.0,5,2.533333333333333,0.0,月球先行公司,月球先行公司
Kingdom of Tauraro,5,0,72.6,17.0,5,2.8,0.0,陶拉罗王国,陶拉罗王国
Jenson-Boyle & Co,5,1,77.0,14.0,5,2.6,20.0,詹森-博伊尔公司,詹森-博伊尔公司
Nanotech Industries,5,0,72.0,18.0,5,2.8666666666666667,0.0,纳米技术工业,纳米技术工业
Luna Trade Federation,4,0,80.25,11.0,4,2.5714285714285716,0.0,月球贸易联盟,月球贸易联盟
Mars Frontier Alliance,4,0,55.25,14.0,4,2.7857142857142856,0.0,火星边疆联盟,火星边疆联盟
Mind Set Mars,4,1,83.0,8.0,4,2.357142857142857,25.0,Mind Set Mars,Mind Set Mars
Hotsprings,4,0,70.5,13.0,4,2.7142857142857144,0.0,Hotsprings,Hotsprings
The Archaic Foundation Institute,3,0,85.66666666666667,10.0,3,2.6923076923076925,0.0,原始基金会研究所,原始基金会研究所
Arborist Collective,2,1,75.0,4.0,2,2.4166666666666665,50.0,树木学家集体,树木学家集体
Anubis Securities,1,0,83.0,3.0,1,2.5454545454545454,0.0,阿努比斯证券,阿努比斯证券
The Grand Luna Capital Group,1,0,64.0,4.0,1,2.6363636363636362,0.0,大月亮资本集团,大月亮资本集团
Demetron Labs,1,0,73.0,4.0,1,2.6363636363636362,0.0,德米特伦实验室,德米特伦实验室
Intragen Sanctuary Headquarters,1,0,67.0,4.0,1,2.6363636363636362,0.0,Intragen避难所总部,Intragen避难所总部
Luna Hyperloop Corporation,1,0,67.0,4.0,1,2.6363636363636362,0.0,月球超级高速列车,月球超级高速列车
Voltagon,1,0,99.0,2.0,1,2.4545454545454546,0.0,Voltagon,Voltagon
Keplertec,1,0,95.0,2.0,1,2.4545454545454546,0.0,Keplertec,Keplertec
