prelude_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Project Eden,377,141,2.092838196286472,74.51193633952255,789.0,377,2.1228501228501226,37.4,伊甸园计划,伊甸园计划
Soil Bacteria,354,130,2.175141242937853,82.50282485875707,770.0,354,2.2005208333333335,36.72,土壤细菌,土壤细菌
Suitable Infrastructure,346,121,2.213872832369942,86.6242774566474,766.0,346,2.2367021276595747,34.97,适宜基础设施,适宜基础设施
Supply Drop,1029,301,2.2847424684159376,80.05830903790087,2351.0,1029,2.290840415486308,29.25,空投补给,空投补给
World Government Advisor,331,113,2.2749244712990935,73.94561933534743,753.0,331,2.293628808864266,34.14,世界政府顾问,世界政府顾问
Experimental Forest,977,295,2.3029682702149437,76.27226202661208,2250.0,977,2.3088381330685204,30.19,实验林场,实验林场
WG Partnership,59,21,2.2542372881355934,80.88135593220339,133.0,59,2.337078651685393,35.59,世界政府小伙伴,世界政府小伙伴
Merger,120,35,2.316666666666667,83.40833333333333,278.0,120,2.3533333333333335,29.17,企业合并,企业合并
Venus Contract,456,149,2.3684210526315788,82.20394736842105,1080.0,456,2.376543209876543,32.68,金星合同,金星合同
Research Grant,34,13,2.2941176470588234,95.02941176470588,78.0,34,2.390625,38.24,研发资助,研发资助
Terraforming Deal,288,78,2.3819444444444446,71.79166666666667,686.0,288,2.393081761006289,27.08,地球化交易,地球化交易
SF Memorial,1555,445,2.401929260450161,85.13890675241157,3735.0,1555,2.4037854889589907,28.62,SF纪念碑,SF纪念碑
Acquired Space Agency,1116,316,2.417562724014337,80.0421146953405,2698.0,1116,2.419720767888307,28.32,收购太空总署,收购太空总署
Nitrate Reducers,180,50,2.4277777777777776,82.32222222222222,437.0,180,2.4380952380952383,27.78,硝酸盐还原剂,硝酸盐还原剂
Space Lanes,379,96,2.440633245382586,83.33245382585751,925.0,379,2.444987775061125,25.33,太空航道,太空航道
Early Colonization,676,171,2.4571005917159763,80.65680473372781,1661.0,676,2.4589235127478752,25.3,早期殖民,早期殖民
Metal-Rich Asteroid,906,234,2.477924944812362,76.73951434878587,2245.0,906,2.4786324786324787,25.83,富含金属的小行星,富含金属的小行星
Aquifer Turbines,549,141,2.4790528233151186,77.21857923497268,1361.0,549,2.4801381692573403,25.68,含水层涡轮机,含水层涡轮机
Smelting Plant,433,112,2.484988452655889,65.6743648960739,1076.0,433,2.485961123110151,25.87,冶炼厂,冶炼厂
UNMI Contractor,719,184,2.5076495132127956,79.93880389429764,1803.0,719,2.507343124165554,25.59,UNMI 承包商,UNMI 承包商
Biosphere Support,31,9,2.5161290322580645,76.48387096774194,78.0,31,2.5081967213114753,29.03,生物圈支援载体,生物圈支援载体
Loan,1091,258,2.535288725939505,75.76718606782768,2766.0,1091,2.5343443354148083,23.65,贷款,贷款
New Partner,1141,300,2.5354951796669587,77.81332164767747,2893.0,1141,2.534585824081981,26.29,新合伙人,新合伙人
Early Settlement,216,43,2.5416666666666665,76.64814814814815,549.0,216,2.5365853658536586,19.91,前期据点,前期据点
Research Network,753,183,2.5644090305444887,80.132802124834,1931.0,753,2.561941251596424,24.3,研究网络,研究网络
Huge Asteroid,244,60,2.569672131147541,54.717213114754095,627.0,244,2.562043795620438,24.59,巨型小行星,巨型小行星
Supplier,584,122,2.5976027397260273,76.28767123287672,1517.0,584,2.592833876221498,20.89,供应商,供应商
Donation,1000,226,2.602,75.209,2602.0,1000,2.5990291262135923,22.6,捐赠,捐赠
Ecology Experts,65,12,2.646153846153846,78.56923076923077,172.0,65,2.6,18.46,生态学专家,生态学专家
Mining Operations,529,109,2.608695652173913,76.92627599243856,1380.0,529,2.6028622540250446,20.6,采矿作业,采矿作业
Double Down,1075,234,2.608372093023256,72.30046511627907,2804.0,1075,2.6054298642533937,21.77,双倍下注,双倍下注
Martian Industries,394,85,2.6294416243654823,77.52030456852792,1036.0,394,2.6202830188679247,21.57,火星工业,火星工业
Orbital Construction Yard,378,76,2.634920634920635,77.05820105820106,996.0,378,2.625,20.11,轨道建造场,轨道建造场
Biofuels,32,6,2.75,71.5625,88.0,32,2.629032258064516,18.75,生物燃料,生物燃料
Business Empire,163,28,2.6564417177914113,81.11042944785277,433.0,163,2.6321243523316062,17.18,商业帝国,商业帝国
Io Research Outpost,240,51,2.6875,77.87916666666666,645.0,240,2.6666666666666665,21.25,木卫一研究前哨,木卫一研究前哨
Self-Sufficient Settlement,301,58,2.6943521594684388,72.85049833887044,811.0,301,2.676737160120846,19.27,自给自足的据点,自给自足的据点
Power Generation,370,64,2.7324324324324323,76.77027027027027,1011.0,370,2.715,17.3,发电,发电
Galilean Mining,189,31,2.767195767195767,77.03703703703704,523.0,189,2.730593607305936,16.4,伽利略矿业,伽利略矿业
Allied Bank,461,87,2.8134490238611716,74.83080260303687,1297.0,461,2.794297352342159,18.87,联合银行,联合银行
