combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
Thorgate (breakthrough) + Valley Trust (breakthrough),11,4,2.3636363636363638,109.72727272727273,26.0,11,2.4285714285714284,36.36,Thorgate (breakthrough) + Valley Trust (breakthrough)
Poseidon + 🌸EliteTech🌸,18,5,2.388888888888889,81.55555555555556,43.0,18,2.4285714285714284,27.78,Poseidon + 🌸精英回馈🌸
Pobolog (breakthrough) + 🌸Mining Corp🌸,11,2,2.3636363636363638,89.81818181818181,26.0,11,2.4285714285714284,18.18,Pobolog (breakthrough) + 🌸钢铁精炼🌸
雩喵科学探测器 + 🌸SolarPlant🌸,11,1,2.3636363636363638,84.27272727272727,26.0,11,2.4285714285714284,9.09,雩喵科学探测器 + 🌸太阳能公司🌸
Point Luna + Splice (breakthrough),18,5,2.388888888888889,88.38888888888889,43.0,18,2.4285714285714284,27.78,Point Luna + Splice (breakthrough)
Arklight (breakthrough) + Ecoline (breakthrough),20,4,2.4,84.65,48.0,20,2.433333333333333,20.0,Arklight (breakthrough) + Ecoline (breakthrough)
Pobolog (breakthrough) + 🌸EliteTech🌸,20,6,2.4,81.25,48.0,20,2.433333333333333,30.0,Pobolog (breakthrough) + 🌸精英回馈🌸
Midas + 雩喵科学探测器,13,2,2.3846153846153846,66.6923076923077,31.0,13,2.4347826086956523,15.38,Midas + 雩喵科学探测器
Manutech + Mining guild (breakthrough),13,3,2.3846153846153846,87.3076923076923,31.0,13,2.4347826086956523,23.08,Manutech + Mining guild (breakthrough)
Polaris + 🌸Prowler🌸,22,6,2.409090909090909,76.0,53.0,22,2.4375,27.27,北极星 + 🌸徘徊者🌸
Ringcom + Viron (breakthrough),15,4,2.4,85.8,36.0,15,2.44,26.67,Ringcom + Viron (breakthrough)
Valley Trust (breakthrough) + 🌸EliteTech🌸,49,12,2.4285714285714284,83.61224489795919,119.0,49,2.440677966101695,24.49,Valley Trust (breakthrough) + 🌸精英回馈🌸
StormCraft Incorporated (breakthrough) + Vitor,17,2,2.411764705882353,97.88235294117646,41.0,17,2.4444444444444446,11.76,StormCraft Incorporated (breakthrough) + Vitor
Chaos + Prism,17,6,2.411764705882353,92.88235294117646,41.0,17,2.4444444444444446,35.29,Chaos + 棱镜光谱研究室
Ringcom + 🌸Scolex Industries🌸,17,6,2.411764705882353,102.82352941176471,41.0,17,2.4444444444444446,35.29,Ringcom + 🌸星核工业🌸
Pobolog (breakthrough) + Saturn Systems,28,7,2.4285714285714284,95.71428571428571,68.0,28,2.4473684210526314,25.0,Pobolog (breakthrough) + Saturn Systems
Tharsis_republic (breakthrough) + 🌸Ark Nova🌸,10,2,2.4,87.9,24.0,10,2.45,20.0,Tharsis_republic (breakthrough) + 🌸方舟动物园🌸
Manutech + 🌸Mining Corp🌸,30,9,2.433333333333333,102.8,73.0,30,2.45,30.0,Manutech + 🌸钢铁精炼🌸
MorningStar Inc (breakthrough) + 🌸EliteTech🌸,10,3,2.4,103.0,24.0,10,2.45,30.0,MorningStar Inc (breakthrough) + 🌸精英回馈🌸
Ringcom + 🌸Tyrell🌸,10,2,2.4,84.3,24.0,10,2.45,20.0,Ringcom + 🌸泰瑞尔公司🌸
Manutech + 🌸Tyrell🌸,10,2,2.4,100.6,24.0,10,2.45,20.0,Manutech + 🌸泰瑞尔公司🌸
Inventrix (breakthrough) + Poseidon,10,2,2.4,83.6,24.0,10,2.45,20.0,Inventrix (breakthrough) + Poseidon
Viron (breakthrough) + 🌸Tyrell🌸,23,6,2.4347826086956523,81.69565217391305,56.0,23,2.4545454545454546,26.09,Viron (breakthrough) + 🌸泰瑞尔公司🌸
Viron (breakthrough) + 🌸Weyland Yutani🌸,23,6,2.4347826086956523,92.34782608695652,56.0,23,2.4545454545454546,26.09,Viron (breakthrough) + 🌸韦兰德-尤坦尼集团🌸
Manutech + 🌸Green Ring🌸,12,3,2.4166666666666665,83.5,29.0,12,2.4545454545454546,25.0,Manutech + 🌸绿环🌸
Spire + 🌸Shinra Tech🌸,12,3,2.4166666666666665,86.83333333333333,29.0,12,2.4545454545454546,25.0,Spire + 🌸樱花电🌸
Polaris + UNMI (breakthrough),12,2,2.4166666666666665,79.25,29.0,12,2.4545454545454546,16.67,北极星 + UNMI (breakthrough)
CrediCor + Ringcom,23,5,2.4347826086956523,81.69565217391305,56.0,23,2.4545454545454546,21.74,CrediCor + Ringcom
Incite Ender + Teractor (breakthrough),12,3,2.4166666666666665,70.41666666666667,29.0,12,2.4545454545454546,25.0,Incite Ender + Teractor (breakthrough)
Helion (breakthrough) + 🌸SolarPlant🌸,34,7,2.4411764705882355,80.94117647058823,83.0,34,2.4545454545454546,20.59,Helion (breakthrough) + 🌸太阳能公司🌸
CrediCor + Lakefront Resorts,12,1,2.4166666666666665,73.25,29.0,12,2.4545454545454546,8.33,CrediCor + 湖畔度假区
Helion (breakthrough) + 🌸Energy Saving Ecology🌸,23,4,2.4347826086956523,65.65217391304348,56.0,23,2.4545454545454546,17.39,Helion (breakthrough) + 🌸节能生态🌸
Labour Union + United Nations Mission One,23,3,2.4347826086956523,44.608695652173914,56.0,23,2.4545454545454546,13.04,Labour Union + United Nations Mission One
Teractor (breakthrough) + 🌸EliteTech🌸,25,4,2.44,76.52,61.0,25,2.4571428571428573,16.0,Teractor (breakthrough) + 🌸精英回馈🌸
Valley Trust (breakthrough) + 🌸Green Ring🌸,14,4,2.4285714285714284,98.64285714285714,34.0,14,2.4583333333333335,28.57,Valley Trust (breakthrough) + 🌸绿环🌸
🌸Buy N Large🌸 + 🌸Green Leaf Dance🌸,14,3,2.4285714285714284,78.14285714285714,34.0,14,2.4583333333333335,21.43,🌸大巨购🌸 + 🌸绿叶舞动🌸
Interplanetary Cinematics (breakthrough) + Martian Insurance Group,14,2,2.4285714285714284,80.71428571428571,34.0,14,2.4583333333333335,14.29,Interplanetary Cinematics (breakthrough) + 火星保险集团
🌸Scolex Industries🌸 + 🌸SolarPlant🌸,16,6,2.4375,91.0625,39.0,16,2.4615384615384617,37.5,🌸星核工业🌸 + 🌸太阳能公司🌸
Valley Trust (breakthrough) + 🌸Tyrell🌸,29,9,2.4482758620689653,98.13793103448276,71.0,29,2.4615384615384617,31.03,Valley Trust (breakthrough) + 🌸泰瑞尔公司🌸
雩喵科学探测器 + 🌸Weyland Yutani🌸,39,8,2.4615384615384617,81.48717948717949,96.0,39,2.4693877551020407,20.51,雩喵科学探测器 + 🌸韦兰德-尤坦尼集团🌸
Collegium Copernicus + Valley Trust (breakthrough),28,7,2.4642857142857144,90.25,69.0,28,2.473684210526316,25.0,哥白尼学院 + Valley Trust (breakthrough)
Valley Trust (breakthrough) + 🌸Integrated Microorganisms🌸,28,10,2.4642857142857144,92.14285714285714,69.0,28,2.473684210526316,35.71,Valley Trust (breakthrough) + 🌸微生物星尘🌸
Pobolog (breakthrough) + 🌸Integrated Microorganisms🌸,11,3,2.4545454545454546,90.54545454545455,27.0,11,2.4761904761904763,27.27,Pobolog (breakthrough) + 🌸微生物星尘🌸
Incite Ender + Septem Tribus,13,4,2.4615384615384617,90.76923076923077,32.0,13,2.4782608695652173,30.77,Incite Ender + Septem Tribus
🌸Mining Corp🌸 + 🌸RDA🌸,13,2,2.4615384615384617,76.61538461538461,32.0,13,2.4782608695652173,15.38,🌸钢铁精炼🌸 + 🌸RDA🌸
🌸Ark Nova🌸 + 🌸Shinra Tech🌸,13,3,2.4615384615384617,88.6923076923077,32.0,13,2.4782608695652173,23.08,🌸方舟动物园🌸 + 🌸樱花电🌸
Pristar (breakthrough) + Terralabs Research (breakthrough),13,4,2.4615384615384617,110.15384615384616,32.0,13,2.4782608695652173,30.77,Pristar (breakthrough) + Terralabs Research (breakthrough)
🌸Ark Nova🌸 + 🌸EliteTech🌸,15,2,2.466666666666667,95.46666666666667,37.0,15,2.48,13.33,🌸方舟动物园🌸 + 🌸精英回馈🌸
Viron (breakthrough) + 🌸Scolex Industries🌸,15,3,2.466666666666667,78.86666666666666,37.0,15,2.48,20.0,Viron (breakthrough) + 🌸星核工业🌸
Interplanetary Cinematics (breakthrough) + 🌸Mining Corp🌸,15,4,2.466666666666667,82.33333333333333,37.0,15,2.48,26.67,Interplanetary Cinematics (breakthrough) + 🌸钢铁精炼🌸
Celestic (breakthrough) + 🌸Tyrell🌸,17,2,2.4705882352941178,79.3529411764706,42.0,17,2.4814814814814814,11.76,Celestic (breakthrough) + 🌸泰瑞尔公司🌸
Celestic (breakthrough) + Prism,17,2,2.4705882352941178,81.82352941176471,42.0,17,2.4814814814814814,11.76,Celestic (breakthrough) + 棱镜光谱研究室
Vitor + 🌸Shinra Tech🌸,17,6,2.4705882352941178,87.17647058823529,42.0,17,2.4814814814814814,35.29,Vitor + 🌸樱花电🌸
🌸Ark Nova🌸 + 🌸Scolex Industries🌸,19,6,2.473684210526316,91.05263157894737,47.0,19,2.4827586206896552,31.58,🌸方舟动物园🌸 + 🌸星核工业🌸
Aurorai + United Nations Mission One,19,4,2.473684210526316,38.89473684210526,47.0,19,2.4827586206896552,21.05,Aurorai + United Nations Mission One
CrediCor + Interplanetary Cinematics (breakthrough),19,5,2.473684210526316,90.42105263157895,47.0,19,2.4827586206896552,26.32,CrediCor + Interplanetary Cinematics (breakthrough)
Manutech + 🌸Ark Nova🌸,25,8,2.48,97.64,62.0,25,2.4857142857142858,32.0,Manutech + 🌸方舟动物园🌸
Sagitta Frontier Services + 🌸StarlinkDrifter🌸,35,8,2.4857142857142858,81.91428571428571,87.0,35,2.488888888888889,22.86,Sagitta Frontier Services + 🌸星链漂流者🌸
Celestic (breakthrough) + Valley Trust (breakthrough),39,7,2.4871794871794872,85.2051282051282,97.0,39,2.489795918367347,17.95,Celestic (breakthrough) + Valley Trust (breakthrough)
Pharmacy Union + Valley Trust (breakthrough),20,3,2.5,81.7,50.0,20,2.5,15.0,制药联盟 + Valley Trust (breakthrough)
