user_id,prelude_name,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
13f9446ad048,Acquired Space Agency,2,0,6,0.0,3.0,6mmmm,收购太空总署,收购太空总署
13f9446ad048,Aquifer Turbines,2,1,5,50.0,2.5,6mmmm,含水层涡轮机,含水层涡轮机
13f9446ad048,Donation,3,2,4,66.67,1.333,6mmmm,捐赠,捐赠
13f9446ad048,Double Down,2,2,2,100.0,1.0,6mmmm,双倍下注,双倍下注
13f9446ad048,Experimental Forest,4,3,7,75.0,1.75,6mmmm,实验林场,实验林场
13f9446ad048,Metal-Rich Asteroid,5,1,10,20.0,2.0,6mmmm,富含金属的小行星,富含金属的小行星
13f9446ad048,Project Eden,4,3,5,75.0,1.25,6mmmm,伊甸园计划,伊甸园计划
13f9446ad048,SF Memorial,3,1,6,33.33,2.0,6mmmm,SF纪念碑,SF纪念碑
13f9446ad048,Smelting Plant,2,1,3,50.0,1.5,6mmmm,冶炼厂,冶炼厂
13f9446ad048,Supply Drop,7,6,9,85.71,1.286,6mmmm,空投补给,空投补给
13f9446ad048,Terraforming Deal,5,3,8,60.0,1.6,6mmmm,地球化交易,地球化交易
13f9446ad048,UNMI Contractor,4,3,5,75.0,1.25,6mmmm,UNMI 承包商,UNMI 承包商
13f9446ad048,Venus Contract,3,1,6,33.33,2.0,6mmmm,金星合同,金星合同
1637240fb98f,Loan,3,1,8,33.33,2.667,点点,贷款,贷款
1637240fb98f,Project Eden,2,1,3,50.0,1.5,点点,伊甸园计划,伊甸园计划
1637240fb98f,Terraforming Deal,2,1,3,50.0,1.5,点点,地球化交易,地球化交易
1637240fb98f,Venus Contract,2,1,4,50.0,2.0,点点,金星合同,金星合同
181fafd4960c,Donation,4,2,6,50.0,1.5,wjcxymy,捐赠,捐赠
181fafd4960c,Metal-Rich Asteroid,3,2,4,66.67,1.333,wjcxymy,富含金属的小行星,富含金属的小行星
181fafd4960c,New Partner,2,1,3,50.0,1.5,wjcxymy,新合伙人,新合伙人
181fafd4960c,SF Memorial,4,4,4,100.0,1.0,wjcxymy,SF纪念碑,SF纪念碑
181fafd4960c,Smelting Plant,2,1,3,50.0,1.5,wjcxymy,冶炼厂,冶炼厂
181fafd4960c,Supplier,2,1,3,50.0,1.5,wjcxymy,供应商,供应商
181fafd4960c,Supply Drop,3,2,4,66.67,1.333,wjcxymy,空投补给,空投补给
193d7a57381c,Acquired Space Agency,6,1,18,16.67,3.0,martin,收购太空总署,收购太空总署
193d7a57381c,Allied Bank,5,2,11,40.0,2.2,martin,联合银行,联合银行
193d7a57381c,Aquifer Turbines,4,2,8,50.0,2.0,martin,含水层涡轮机,含水层涡轮机
193d7a57381c,Business Empire,5,1,11,20.0,2.2,martin,商业帝国,商业帝国
193d7a57381c,Donation,2,0,4,0.0,2.0,martin,捐赠,捐赠
193d7a57381c,Double Down,7,2,19,28.57,2.714,martin,双倍下注,双倍下注
193d7a57381c,Early Colonization,4,2,6,50.0,1.5,martin,早期殖民,早期殖民
193d7a57381c,Experimental Forest,8,2,18,25.0,2.25,martin,实验林场,实验林场
193d7a57381c,Galilean Mining,5,1,14,20.0,2.8,martin,伽利略矿业,伽利略矿业
193d7a57381c,Martian Industries,5,2,14,40.0,2.8,martin,火星工业,火星工业
193d7a57381c,Metal-Rich Asteroid,7,1,16,14.29,2.286,martin,富含金属的小行星,富含金属的小行星
193d7a57381c,Mining Operations,5,0,16,0.0,3.2,martin,采矿作业,采矿作业
193d7a57381c,New Partner,3,1,7,33.33,2.333,martin,新合伙人,新合伙人
193d7a57381c,Orbital Construction Yard,9,2,26,22.22,2.889,martin,轨道建造场,轨道建造场
193d7a57381c,Power Generation,3,0,8,0.0,2.667,martin,发电,发电
193d7a57381c,Research Network,7,1,20,14.29,2.857,martin,研究网络,研究网络
193d7a57381c,SF Memorial,8,1,22,12.5,2.75,martin,SF纪念碑,SF纪念碑
193d7a57381c,Supplier,7,1,20,14.29,2.857,martin,供应商,供应商
193d7a57381c,Supply Drop,4,1,9,25.0,2.25,martin,空投补给,空投补给
193d7a57381c,UNMI Contractor,7,1,19,14.29,2.714,martin,UNMI 承包商,UNMI 承包商
19ed288a5ec9,Acquired Space Agency,7,1,22,14.29,3.143,bsylh,收购太空总署,收购太空总署
19ed288a5ec9,Allied Bank,2,1,5,50.0,2.5,bsylh,联合银行,联合银行
19ed288a5ec9,Aquifer Turbines,2,1,4,50.0,2.0,bsylh,含水层涡轮机,含水层涡轮机
19ed288a5ec9,Donation,6,1,13,16.67,2.167,bsylh,捐赠,捐赠
19ed288a5ec9,Double Down,4,1,9,25.0,2.25,bsylh,双倍下注,双倍下注
19ed288a5ec9,Early Colonization,4,1,10,25.0,2.5,bsylh,早期殖民,早期殖民
19ed288a5ec9,Experimental Forest,6,3,12,50.0,2.0,bsylh,实验林场,实验林场
19ed288a5ec9,Loan,15,5,34,33.33,2.267,bsylh,贷款,贷款
19ed288a5ec9,Metal-Rich Asteroid,7,2,17,28.57,2.429,bsylh,富含金属的小行星,富含金属的小行星
19ed288a5ec9,Mining Operations,5,1,15,20.0,3.0,bsylh,采矿作业,采矿作业
19ed288a5ec9,New Partner,10,3,23,30.0,2.3,bsylh,新合伙人,新合伙人
19ed288a5ec9,Orbital Construction Yard,3,0,9,0.0,3.0,bsylh,轨道建造场,轨道建造场
19ed288a5ec9,Power Generation,2,0,7,0.0,3.5,bsylh,发电,发电
19ed288a5ec9,SF Memorial,8,2,21,25.0,2.625,bsylh,SF纪念碑,SF纪念碑
