card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Ceres Spaceport,356,237,1.3342696629213484,205.26966292134833,475.0,356,0.0,1.3471502590673574,66.57,谷神星太空港,谷神星太空港
Hay Maker,263,176,1.3307984790874525,186.49809885931558,350.0,263,0.0,1.348122866894198,66.92,炎拳,炎拳
Ecology Research,471,311,1.3397027600849256,207.7112526539278,631.0,471,0.0,1.3493013972055887,66.03,生态学研究,生态学研究
Air Raid,468,309,1.3397435897435896,193.62820512820514,627.0,468,0.0,1.3493975903614457,66.03,空袭,空袭
Solar Probe,652,428,1.343558282208589,195.08282208588957,876.0,652,0.0,1.3504398826979471,65.64,太阳探测器,太阳探测器
Soil Factory,281,187,1.3345195729537367,225.41992882562278,375.0,281,0.0,1.3504823151125402,66.55,土壤工厂,土壤工厂
Anti-Gravity Technology,668,437,1.345808383233533,196.1556886227545,899.0,668,0.0,1.3524355300859598,65.42,反重力科技,反重力科技
Sulphur Exports,514,336,1.3463035019455254,204.01750972762645,692.0,514,0.0,1.3547794117647058,65.37,硫磺出口贸易,硫磺出口贸易
Teslaract,249,165,1.3373493975903614,224.46586345381527,333.0,249,0.0,1.3548387096774193,66.27,泰斯拉立方体,泰斯拉立方体
Noctis Farming,494,323,1.3461538461538463,192.13765182186233,665.0,494,0.0,1.3549618320610688,65.38,诺提斯农耕,诺提斯农耕
Jovian Lanterns,336,221,1.3422619047619047,221.80059523809524,451.0,336,9.94047619047619,1.355191256830601,65.77,木星灯,木星灯
Tundra Farming,381,250,1.3438320209973753,212.35958005249344,512.0,381,0.0,1.3552311435523114,65.62,冻原农耕,冻原农耕
Luxury Foods,457,299,1.3457330415754925,202.49234135667396,615.0,457,0.0,1.3552361396303902,65.43,奢靡大餐,奢靡大餐
Cassini Station,257,170,1.33852140077821,223.6770428015564,344.0,257,0.0,1.3554006968641115,66.15,卡西尼太空站,卡西尼太空站
Martian Fencing,535,349,1.347663551401869,197.1607476635514,721.0,535,0.0,1.3557522123893806,65.23,火星击剑,火星击剑
Protected Growth,178,119,1.3314606741573034,196.86516853932585,237.0,178,0.0,1.3557692307692308,66.85,受保护的生长,受保护的生长
Energy Supply,355,233,1.343661971830986,207.7943661971831,477.0,355,0.0,1.3558441558441559,65.63,电力补给,电力补给
Open City,380,249,1.3447368421052632,204.21315789473684,511.0,380,0.0,1.3560975609756099,65.53,开放的城市,开放的城市
Power Plant,542,353,1.348708487084871,190.96125461254613,731.0,542,0.0,1.3566433566433567,65.13,发电厂,发电厂
Space Monster Park,581,378,1.3493975903614457,203.71256454388984,784.0,581,1.3012048192771084,1.3567921440261865,65.06,太空怪兽乐园,太空怪兽乐园
Insects,473,308,1.3488372093023255,197.71035940803384,638.0,473,0.0,1.3578528827037772,65.12,昆虫,昆虫
Ore Processor,132,89,1.3257575757575757,224.78030303030303,175.0,132,0.0,1.3580246913580247,67.42,矿石加工厂,矿石加工厂
Expedition to the Surface - Venus,444,289,1.3490990990990992,193.0608108108108,599.0,444,0.0,1.358649789029536,65.09,金星表面探险,金星表面探险
Breeding Farms,257,169,1.3424124513618676,219.54474708171207,345.0,257,0.0,1.3588850174216027,65.76,养殖农场,养殖农场
Titan Air-scrapping,290,190,1.3448275862068966,229.51724137931035,390.0,290,0.46206896551724136,1.359375,65.52,处理泰坦空气,处理泰坦空气
Fish,412,268,1.3495145631067962,201.20388349514562,556.0,412,2.924757281553398,1.3597285067873304,65.05,鱼,鱼
Aerosport Tournament,273,179,1.3443223443223444,232.34432234432234,367.0,273,0.0,1.3597359735973598,65.57,航空运动锦标赛,航空运动锦标赛
Maxwell Base,462,300,1.3506493506493507,212.21212121212122,624.0,462,0.0,1.3597560975609757,64.94,麦克斯韦基地,麦克斯韦基地
Respiration Enhance,384,250,1.3489583333333333,209.125,518.0,384,0.0,1.3599033816425121,65.1,呼吸作用增强,呼吸作用增强
Venus Magnetizer,306,200,1.34640522875817,210.36601307189542,412.0,306,0.0,1.3601190476190477,65.36,金星磁化器,金星磁化器
Security Fleet,217,143,1.3410138248847927,238.42396313364054,291.0,217,2.4331797235023043,1.360323886639676,65.9,安保舰队,安保舰队
L1 Trade Terminal,586,379,1.3532423208191127,200.2935153583618,793.0,586,0.0,1.3603896103896105,64.68,L1 贸易终端,L1 贸易终端
Nitrogen-Rich Asteroid,443,287,1.3521444695259595,202.37020316027088,599.0,443,0.0,1.3615221987315012,64.79,富氮小行星,富氮小行星
Public Baths,357,232,1.350140056022409,185.4453781512605,482.0,357,0.0,1.3617571059431524,64.99,公共浴场,公共浴场
Luxury Estate,348,226,1.3505747126436782,210.92241379310346,470.0,348,0.0,1.3624338624338623,64.94,豪华别墅,豪华别墅
Zeppelins,254,166,1.3464566929133859,234.49212598425197,342.0,254,0.0,1.3626760563380282,65.35,齐柏林飞艇,齐柏林飞艇
Venus Soils,339,220,1.351032448377581,212.21238938053096,458.0,339,0.0,1.3631436314363143,64.9,金星土壤,金星土壤
Takonda Castle (VII),193,127,1.3419689119170986,211.8134715025907,259.0,193,0.0,1.3632286995515694,65.8,Takonda Castle (VII),Takonda Castle (VII)
Plant Smuggling,482,311,1.3547717842323652,197.02697095435684,653.0,482,0.0,1.36328125,64.52,植物走私集团,植物走私集团
Titan Shuttles,526,339,1.355513307984791,202.86121673003802,713.0,526,0.7604562737642585,1.3633093525179856,64.45,泰坦穿梭机,泰坦穿梭机
Magnetic Field Dome,270,176,1.348148148148148,227.90740740740742,364.0,270,0.0,1.3633333333333333,65.19,磁力区域圆顶,磁力区域圆顶
Nitrogen from Titan,484,312,1.3553719008264462,205.4400826446281,656.0,484,0.0,1.3638132295719845,64.46,土卫六氮气,土卫六氮气
Think Tank,253,165,1.3478260869565217,219.25296442687747,341.0,253,0.6996047430830039,1.3639575971731448,65.22,智库,智库
Venus Trade Hub,677,434,1.3589364844903988,190.98670605612998,920.0,677,0.0,1.3649222065063649,64.11,金星贸易中心,金星贸易中心
Harvest,548,352,1.3576642335766422,194.77372262773721,744.0,548,0.0,1.3650519031141868,64.23,丰收,丰收
Interplanetary Transport,337,218,1.3531157270029674,209.6053412462908,456.0,337,0.0,1.3651226158038148,64.69,星际运输,星际运输
Market Manipulation,375,242,1.3546666666666667,194.78666666666666,508.0,375,0.0,1.365432098765432,64.53,操控市场,操控市场
Commercial District:ares,353,228,1.3541076487252124,202.73087818696885,478.0,353,0.0,1.3655352480417755,64.59,Commercial District:ares,Commercial District:ares
Hi-Tech Lab,525,337,1.358095238095238,204.7047619047619,713.0,525,0.0,1.3657657657657658,64.19,高科技实验室,高科技实验室
Ocean Sanctuary,440,283,1.356818181818182,198.25,597.0,440,6.345454545454546,1.3659574468085107,64.32,海豚,海豚
Data Leak,205,134,1.3463414634146342,228.30731707317074,276.0,205,0.0,1.3659574468085107,65.37,数据泄露,数据泄露
Io Mining Industries,623,399,1.3595505617977528,196.73033707865167,847.0,623,0.0,1.3660030627871362,64.04,木卫一矿业,木卫一矿业
Robot Pollinators,445,286,1.3573033707865167,197.83820224719102,604.0,445,0.0,1.3663157894736842,64.27,机器授粉者,机器授粉者
Energy Station,382,246,1.356020942408377,204.73560209424085,518.0,382,0.0,1.366504854368932,64.4,能源站,能源站
Molecular Printing,551,353,1.3593466424682397,202.03629764065334,749.0,551,0.0,1.3666092943201378,64.07,分子打印,分子打印
Water Splitting Plant,120,80,1.3333333333333333,206.8,160.0,120,0.0,1.3666666666666667,66.67,海水分解装置,海水分解装置
Martian Monuments,169,111,1.3431952662721893,251.19526627218934,227.0,169,0.0,1.3668341708542713,65.68,火星纪念碑,火星纪念碑
Vermin,139,92,1.3381294964028776,192.87769784172662,186.0,139,8.913669064748202,1.3668639053254439,66.19,害兽,害兽
Refugee Camps,275,178,1.3527272727272728,213.71272727272728,372.0,275,2.5236363636363635,1.3672131147540985,64.73,难民营,难民营
Hyperspace Drive Prototype,185,121,1.345945945945946,200.6216216216216,249.0,185,0.0,1.3674418604651162,65.41,超空间驱动原型,超空间驱动原型
Lunar Embassy,370,238,1.3567567567567567,204.12702702702703,502.0,370,0.0,1.3675,64.32,月球大使馆,月球大使馆
Worms,457,293,1.3588621444201312,201.86433260393872,621.0,457,0.0,1.3675564681724846,64.11,蠕虫,蠕虫
Carbonate Processing,193,126,1.3471502590673574,226.07253886010363,260.0,193,0.0,1.3677130044843049,65.28,碳酸盐处理,碳酸盐处理
Cloud City (V),239,155,1.3514644351464435,201.77405857740587,323.0,239,0.0,1.3680297397769516,64.85,Cloud City (V),Cloud City (V)
Carbon Nanosystems,709,452,1.3624823695345558,190.57404795486602,966.0,709,1.071932299012694,1.368064952638701,63.75,碳纳米系统,碳纳米系统
Advanced Ecosystems,554,354,1.3610108303249098,196.69494584837545,754.0,554,0.0,1.3681506849315068,63.9,先进的生态系统,先进的生态系统
Solarnet,654,417,1.3623853211009174,194.76452599388378,891.0,654,0.0,1.368421052631579,63.76,太阳系网络,太阳系网络
Space Port Colony,594,379,1.361952861952862,199.43097643097644,809.0,594,0.0,1.3685897435897436,63.8,太空港殖民地,太空港殖民地
Pride of the Earth Arkship,214,139,1.3504672897196262,223.99065420560748,289.0,214,7.47196261682243,1.3688524590163935,64.95,地球方舟的骄傲,地球方舟的骄傲
Fusion Power,523,334,1.3613766730401529,197.23709369024857,712.0,523,0.0,1.3688969258589512,63.86,聚变能源,聚变能源
Fleet Recycling,241,156,1.3526970954356847,215.04979253112035,326.0,241,0.0,1.3690036900369005,64.73,飞船回收,飞船回收
Freyja Biodomes,455,291,1.3604395604395605,211.35384615384615,619.0,455,0.0,1.3690721649484536,63.96,弗雷雅生态馆,弗雷雅生态馆
Pets,555,354,1.3621621621621622,195.94954954954954,756.0,555,10.574774774774776,1.3692307692307693,63.78,宠物,宠物
Ganymede Colony,633,403,1.363349131121643,197.20695102685625,863.0,633,0.0,1.3695324283559578,63.67,木卫三殖民地,木卫三殖民地
Symbiotic Fungus,489,312,1.361963190184049,201.65235173824132,666.0,489,0.0,1.369942196531792,63.8,共生真菌,共生真菌
City Parks,286,184,1.3566433566433567,199.16783216783216,388.0,286,0.0,1.370253164556962,64.34,城市公园,城市公园
Luna Metropolis,656,417,1.3643292682926829,194.8033536585366,895.0,656,0.0,1.370262390670554,63.57,月神都会,月神都会
Noctis City,475,303,1.3621052631578947,191.82736842105263,647.0,475,0.0,1.3702970297029704,63.79,诺提斯城,诺提斯城
Venus Allies,531,338,1.3634651600753296,198.60263653483992,724.0,531,0.0,1.3707664884135473,63.65,金星盟友,金星盟友
Productive Outpost,531,338,1.3634651600753296,199.90018832391715,724.0,531,0.0,1.3707664884135473,63.65,生产前哨站,生产前哨站
Agro-Drones,121,80,1.3388429752066116,243.47107438016528,162.0,121,0.0,1.3708609271523178,66.12,农业无人机,农业无人机
Meat Industry,646,410,1.3653250773993808,187.54179566563468,882.0,646,0.0,1.371301775147929,63.47,肉类工业,肉类工业
Minority Refuge,581,369,1.3648881239242685,181.02581755593803,793.0,581,0.0,1.3715220949263502,63.51,少数民族难民,少数民族难民
Spin-off Department,594,377,1.3653198653198653,197.65151515151516,811.0,594,0.0,1.3717948717948718,63.47,副产品部门,副产品部门
Nobel Labs,419,267,1.3627684964200477,198.72315035799522,571.0,419,0.0,1.3719376391982183,63.72,诺贝尔劳动奖,诺贝尔劳动奖
New Venice,389,248,1.3624678663239074,200.04370179948586,530.0,389,0.0,1.3723150357995226,63.75,新威尼斯,新威尼斯
Breathing Filters,499,317,1.3647294589178356,202.8997995991984,681.0,499,0.0,1.3724007561436673,63.53,呼吸过滤器,呼吸过滤器
Galilean Waystation,394,251,1.3629441624365481,210.18527918781726,537.0,394,0.0,1.3726415094339623,63.71,伽利略中转站,伽利略中转站
Imported Nitrogen,622,394,1.3665594855305465,193.65273311897107,850.0,622,0.0,1.3726993865030674,63.34,引入氮气,引入氮气
Deimos Down:promo,120,79,1.3416666666666666,148.71666666666667,161.0,120,0.0,1.3733333333333333,65.83,Deimos Down:promo,Deimos Down:promo
Media Archives,610,386,1.3672131147540985,186.55901639344262,834.0,610,0.0,1.3734375,63.28,多媒体档案库,多媒体档案库
Imported Nutrients,607,384,1.3673805601317957,189.49258649093903,830.0,607,0.0,1.3736263736263736,63.26,营养物输入,营养物输入
Battery Factory,168,109,1.3511904761904763,205.125,227.0,168,0.0,1.3737373737373737,64.88,电池工厂,电池工厂
Nitrophilic Moss,366,233,1.3633879781420766,197.35792349726776,499.0,366,0.0,1.3737373737373737,63.66,嗜中性苔藓,嗜中性苔藓
Microgravity Nutrition,355,226,1.3633802816901408,210.0112676056338,484.0,355,0.0,1.374025974025974,63.66,微重力营养学,微重力营养学
Plantation,459,291,1.3660130718954249,182.56209150326796,627.0,459,0.0,1.3742331288343559,63.4,种植园,种植园
Small Comet,189,122,1.3544973544973544,203.92592592592592,256.0,189,0.0,1.3744292237442923,64.55,小彗星,小彗星
Restricted Area,197,127,1.3553299492385786,169.73096446700507,267.0,197,0.0,1.3744493392070485,64.47,管制区,管制区
Predators,293,187,1.3617747440273038,223.96587030716722,399.0,293,3.0819112627986347,1.3746130030959753,63.82,捕食者,捕食者
Titan Floating Launch-pad,418,265,1.3660287081339713,210.8732057416268,571.0,418,0.6578947368421053,1.375,63.4,泰坦漂浮物起飞平台,泰坦漂浮物起飞平台
Rare-Earth Elements,258,165,1.3604651162790697,225.47286821705427,351.0,258,0.0,1.375,63.95,稀土元素,稀土元素
